"player","player_id","position","team_name","player_game_count","attempts","attempts_with_hangtime","average_hangtime","average_net_yards","average_yards_per_attempt","average_yards_per_return","blocks","declined_penalties","downeds","fair_catches","franchise_id","grades_punter","inside_twenties","long","out_of_bounds","penalties","percent_returned","return_yards","returns","snaps","total_hangtime","total_net_yards","touchbacks","yards","week","year"
"Michael Palardy",9277,"P","MIA",1,5,5,4.03,38.8,51.8,12.5,0,0,0,0,17,56.6,0,59,1,0,40,25,2,5,20.16,194,2,259,8,2021
"Bradley Pinion",9598,"P","TB",1,3,3,4.38,38,42,12,0,0,0,2,30,64.4,2,54,0,0,33.3,12,1,3,13.14,114,0,126,8,2021
"Ty Long",9728,"K","LAC",1,5,5,4.28,32,48,20,0,0,0,0,27,60.6,0,52,1,0,80,80,4,5,21.42,160,0,240,8,2021
"Jordan Berry",10236,"P","MIN",1,6,6,4.16,38.83,39.5,2,0,0,2,1,18,51.3,4,51,1,0,33.3,4,2,6,24.93,233,0,237,8,2021
"Riley Dixon",10862,"P","NYG",1,5,5,4.02,43,43,,0,0,2,1,21,62.5,2,51,2,0,0,0,0,5,20.12,215,0,215,8,2021
"Lachlan Edwards",10869,"P","CAR",1,4,4,4.07,38.5,43.75,10.5,0,0,0,2,5,56.9,1,49,0,0,50,21,2,4,16.29,154,0,175,8,2021
"Rigoberto Sanchez",12130,"P","IND",1,4,4,4.26,40.25,45.5,10.5,0,0,1,0,14,63.1,2,63,1,0,50,21,2,4,17.03,161,0,182,8,2021
"Matt Haack",12212,"P","BUF",1,4,4,4.19,37.75,40.75,4,0,0,0,0,4,58,1,55,1,0,75,12,3,4,16.74,151,0,163,8,2021
"Cameron Johnston",12255,"P","HST",1,7,7,4.64,51.71,52,0.7,0,0,0,3,13,74.1,2,63,1,0,42.9,2,3,7,32.45,362,0,364,8,2021
"Corey Bojorquez",27626,"P","GB",1,3,3,4.36,46.67,51.33,4.7,0,0,0,0,12,60.1,2,58,0,0,100,14,3,3,13.07,140,0,154,8,2021
"Logan Cooke",29214,"P","JAX",1,4,4,4.34,38.75,48.75,20,0,0,0,2,15,62.1,0,54,0,0,25,20,1,4,17.34,155,1,195,8,2021
"Tommy Townsend",33007,"P","KC",1,4,4,4.63,50.75,50.75,0,0,0,0,2,16,61.4,4,58,0,0,50,0,2,4,18.5,203,0,203,8,2021
"Jake Bailey",33963,"P","NE",1,3,3,4.15,46.33,48.67,7,0,0,0,1,19,59,2,62,1,0,33.3,7,1,3,12.46,139,0,146,8,2021
"Jack Fox",34735,"P","DET",1,3,3,4.59,42.67,46.67,12,0,0,1,1,11,64.3,2,58,0,0,33.3,12,1,3,13.76,128,0,140,8,2021
