"player","player_id","position","team_name","player_game_count","declined_penalties","fifty_attempts","fifty_made","fifty_percent","forty_attempts","forty_made","forty_percent","franchise_id","grades_fgep_kicker","one_attempts","one_made","one_percent","pat_attempts","pat_made","pat_percent","penalties","thirty_attempts","thirty_made","thirty_percent","total_attempts","total_made","total_percent","twenty_attempts","twenty_made","twenty_percent","week","year"
"Joey Slye",39235,"K","SF",1,0,0,0,,1,1,100,28,65.3,0,0,,1,1,100,0,0,0,,1,1,100,0,0,,5,2021
"Matthew Wright",39675,"K","JAX",1,0,1,0,0,0,0,,15,32.1,0,0,,2,1,50,0,0,0,,1,0,0,0,0,,5,2021
"Matt Gay",57643,"K","LA",1,0,0,0,,1,1,100,26,51.7,0,0,,3,2,66.7,0,1,1,100,2,2,100,0,0,,5,2021
"Evan McPherson",82583,"K","CIN",1,0,1,0,0,1,0,0,7,29.7,0,0,,2,2,100,0,0,0,,2,0,0,0,0,,5,2021
"Matt Prater",3471,"K","ARZ",1,0,1,1,100,0,0,,1,70.3,0,0,,4,4,100,0,2,2,100,3,3,100,0,0,,6,2021
"Nick Folk",3794,"K","NE",1,0,0,0,,0,0,,19,63.5,0,0,,3,3,100,0,0,0,,0,0,,0,0,,6,2021
"Mason Crosby",3809,"K","GB",1,0,0,0,,0,0,,12,64.9,0,0,,3,3,100,0,1,1,100,1,1,100,0,0,,6,2021
"Ryan Succop",5180,"K","TB",1,0,0,0,,0,0,,30,64.5,0,0,,4,4,100,0,0,0,,0,0,,0,0,,6,2021
"Graham Gano",5443,"K","NYG",1,0,0,0,,0,0,,21,60.3,0,0,,0,0,,0,0,0,,1,1,100,1,1,100,6,2021
"Randy Bullock",7154,"K","TEN",1,0,0,0,,1,1,100,31,67.8,0,0,,4,4,100,0,1,1,100,2,2,100,0,0,,6,2021
"Greg Zuerlein",7163,"K","DAL",1,0,1,0,0,2,2,100,9,67.2,0,0,,2,2,100,0,1,1,100,4,3,75,0,0,,6,2021
"Justin Tucker",7604,"K","BLT",1,0,1,1,100,0,0,,3,70.2,0,0,,4,4,100,0,1,1,100,2,2,100,0,0,,6,2021
"Dustin Hopkins",7958,"K","WAS",1,0,1,1,100,2,1,50,32,54.9,0,0,,1,1,100,0,0,0,,3,2,66.7,0,0,,6,2021
"Brandon McManus",8437,"K","DEN",1,0,0,0,,0,0,,10,64.4,0,0,,3,3,100,0,1,1,100,1,1,100,0,0,,6,2021
"Cairo Santos",8932,"K","CHI",1,0,0,0,,0,0,,6,62.3,0,0,,2,2,100,0,0,0,,0,0,,0,0,,6,2021
"Chris Boswell",8990,"K","PIT",1,0,1,1,100,0,0,,25,85.5,0,0,,2,2,100,0,1,1,100,3,3,100,1,1,100,6,2021
