p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,week,year,plyr_number
jalenpitre_hou_2022_6,hou_2022_6,jalenpitre_hou_2022,hou_2022,jalenpitre,57737,s,hou,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
delshawnphillips_bal_2022_6,bal_2022_6,delshawnphillips_bal_2022,bal_2022,delshawnphillips,57868,lb,bal,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
matthewbutler_lv_2022_6,lv_2022_6,matthewbutler_lv_2022,lv_2022,matthewbutler,62931,di,lv,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
micahmcfadden_nyg_2022_6,nyg_2022_6,micahmcfadden_nyg_2022,nyg_2022,micahmcfadden,81246,lb,nyg,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
azeezojulari_nyg_2022_6,nyg_2022_6,azeezojulari_nyg_2022,nyg_2022,azeezojulari,81959,ed,nyg,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
thomasbooker_hou_2022_6,hou_2022_6,thomasbooker_hou_2022,hou_2022,thomasbooker,82168,di,hou,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
devontewyatt_gb_2022_6,gb_2022_6,devontewyatt_gb_2022,gb_2022,devontewyatt,82268,di,gb,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jevonholland_mia_2022_6,mia_2022_6,jevonholland_mia_2022,mia_2022,jevonholland,83873,s,mia,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jaquanbrisker_chi_2022_6,chi_2022_6,jaquanbrisker_chi_2022,chi_2022,jaquanbrisker,101665,s,chi,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
princeemili_buf_2022_6,buf_2022_6,princeemili_buf_2022,buf_2022,princeemili,106599,di,buf,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
calaiscampbell_bal_2022_6,bal_2022_6,calaiscampbell_bal_2022,bal_2022,calaiscampbell,4364,di,bal,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tysonalualu_pit_2022_6,pit_2022_6,tysonalualu_pit_2022,pit_2022,tysonalualu,5535,di,pit,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
brandongraham_phi_2022_6,phi_2022_6,brandongraham_phi_2022,phi_2022,brandongraham,5538,ed,phi,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jasonpierrepaul_bal_2022_6,bal_2022_6,jasonpierrepaul_bal_2022,bal_2022,jasonpierrepaul,5540,ed,bal,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jerryhughes_hou_2022_6,hou_2022_6,jerryhughes_hou_2022,hou_2022,jerryhughes,5556,ed,hou,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
carlosdunlap_kc_2022_6,kc_2022_6,carlosdunlap_kc_2022,kc_2022,carlosdunlap,5579,ed,kc,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
coreypeters_jax_2022_6,jax_2022_6,coreypeters_jax_2022,jax_2022,coreypeters,5607,di,jax,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
alwoods_sea_2022_6,sea_2022_6,alwoods_sea_2022,sea_2022,alwoods,5646,di,sea,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
vonmiller_buf_2022_6,buf_2022_6,vonmiller_buf_2022,buf_2022,vonmiller,6154,ed,buf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jjwatt_ari_2022_6,ari_2022_6,jjwatt_ari_2022,ari_2022,jjwatt,6163,ed,ari,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
robertquinn_chi_2022_6,chi_2022_6,robertquinn_chi_2022,chi_2022,robertquinn,6166,ed,chi,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
cameronjordan_no_2022_6,no_2022_6,cameronjordan_no_2022,no_2022,cameronjordan,6176,ed,no,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
cameronheyward_pit_2022_6,pit_2022_6,cameronheyward_pit_2022,pit_2022,cameronheyward,6183,di,pit,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
joshbynes_bal_2022_6,bal_2022_6,joshbynes_bal_2022,bal_2022,joshbynes,6503,lb,bal,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
marioaddison_hou_2022_6,hou_2022_6,marioaddison_hou_2022,hou_2022,marioaddison,6558,ed,hou,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
fletchercox_phi_2022_6,phi_2022_6,fletchercox_phi_2022,phi_2022,fletchercox,7018,di,phi,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
michaelbrockers_det_2022_6,det_2022_6,michaelbrockers_det_2022,det_2022,michaelbrockers,7020,di,det,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
melviningramiii_mia_2022_6,mia_2022_6,melviningramiii_mia_2022,mia_2022,melviningramiii,7024,ed,mia,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
chandlerjones_lv_2022_6,lv_2022_6,chandlerjones_lv_2022,lv_2022,chandlerjones,7027,ed,lv,1,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
bobbywagner_lar_2022_6,lar_2022_6,bobbywagner_lar_2022,lar_2022,bobbywagner,7050,lb,lar,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
lavontedavid_tb_2022_6,tb_2022_6,lavontedavid_tb_2022,tb_2022,lavontedavid,7060,lb,tb,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
demariodavis_no_2022_6,no_2022_6,demariodavis_no_2022,no_2022,demariodavis,7079,lb,no,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
rodneymcleod_ind_2022_6,ind_2022_6,rodneymcleod_ind_2022,ind_2022,rodneymcleod,7271,s,ind,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tashaungipsonsr_sf_2022_6,sf_2022_6,tashaungipsonsr_sf_2022,sf_2022,tashaungipsonsr,7288,s,sf,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tyrannmathieu_no_2022_6,no_2022_6,tyrannmathieu_no_2022,no_2022,tyrannmathieu,7850,s,no,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
johnjenkins_mia_2022_6,mia_2022_6,johnjenkins_mia_2022,mia_2022,johnjenkins,7863,di,mia,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
akeemspence_sf_2022_6,sf_2022_6,akeemspence_sf_2022,sf_2022,akeemspence,7882,di,sf,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
williamgholston_tb_2022_6,tb_2022_6,williamgholston_tb_2022,tb_2022,williamgholston,7908,di,tb,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
nickwilliams_nyg_2022_6,nyg_2022_6,nickwilliams_nyg_2022,nyg_2022,nickwilliams,8006,di,nyg,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tonyjefferson_nyg_2022_6,nyg_2022_6,tonyjefferson_nyg_2022,nyg_2022,tonyjefferson,8361,s,nyg,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
brandoncopeland_bal_2022_6,bal_2022_6,brandoncopeland_bal_2022,bal_2022,brandoncopeland,8378,ed,bal,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
mikepurcell_den_2022_6,den_2022_6,mikepurcell_den_2022,den_2022,mikepurcell,8530,di,den,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jadeveonclowney_cle_2022_6,cle_2022_6,jadeveonclowney_cle_2022,cle_2022,jadeveonclowney,8636,ed,cle,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
khalilmack_lac_2022_6,lac_2022_6,khalilmack_lac_2022,lac_2022,khalilmack,8640,ed,lac,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
anthonybarr_dal_2022_6,dal_2022_6,anthonybarr_dal_2022,dal_2022,anthonybarr,8644,lb,dal,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
aarondonald_lar_2022_6,lar_2022_6,aarondonald_lar_2022,lar_2022,aarondonald,8648,di,lar,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
cjmosley_nyj_2022_6,nyj_2022_6,cjmosley_nyj_2022,nyj_2022,cjmosley,8652,lb,nyj,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
demarcuslawrence_dal_2022_6,dal_2022_6,demarcuslawrence_dal_2022,dal_2022,demarcuslawrence,8669,ed,dal,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
kylevannoy_lac_2022_6,lac_2022_6,kylevannoy_lac_2022,lac_2022,kylevannoy,8675,ed,lac,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
lamarcusjoyner_nyj_2022_6,nyj_2022_6,lamarcusjoyner_nyj_2022,nyj_2022,lamarcusjoyner,8676,s,nyj,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
