team,year,week,home_or_away,team_num,game_id,opponent,date,time,wl,pf,pa,overall_performance,offense,pass,pass_blocking,receiving,rushing,run_blocking,defense,rush_defense,tackling,pass_rush,coverage,special_teams
minnesota-vikings,2022,3,,20,23136,Detroit Lions,09/25,1:00pm,W,28,24,78.7,80.7,75.0,72.9,71.7,77.5,73.0,71.0,77.1,75.5,69.9,59.8,65.7
new-england-patriots,2022,1,@,21,23105,Miami Dolphins,09/11,1:00pm,L,7,20,67.5,69.6,66.3,78.4,67.6,63.4,62.5,58.6,67.7,62.5,72.8,44.1,74.0
new-england-patriots,2022,2,@,21,23121,Pittsburgh Steelers,09/18,1:00pm,W,17,14,71.7,69.0,50.7,70.9,67.9,73.4,73.0,68.2,67.3,75.1,63.4,64.8,77.5
new-england-patriots,2022,3,,21,23138,Baltimore Ravens,09/25,1:00pm,L,26,37,61.6,69.4,61.0,66.8,72.6,71.4,55.2,47.5,35.8,52.4,62.6,51.4,65.0
new-orleans-saints,2022,1,@,22,23107,Atlanta Falcons,09/11,1:00pm,W,27,26,70.6,75.1,77.8,66.3,69.9,76.8,57.7,56.4,53.2,76.8,57.4,62.2,71.8
new-orleans-saints,2022,2,,22,23115,Tampa Bay Buccaneers,09/18,1:00pm,L,10,20,66.0,58.9,48.2,76.1,57.4,55.4,67.9,71.8,72.5,61.2,59.4,73.4,63.7
new-orleans-saints,2022,3,@,22,23139,Carolina Panthers,09/25,1:00pm,L,14,22,71.4,71.4,71.6,70.4,79.7,50.7,51.4,67.9,65.2,41.3,57.0,69.1,79.2
new-york-giants,2022,1,@,23,23110,Tennessee Titans,09/11,4:25pm,W,21,20,56.7,57.4,62.6,52.7,61.7,60.8,51.1,57.5,66.1,80.9,60.8,47.7,49.7
new-york-giants,2022,2,,23,23120,Carolina Panthers,09/18,1:00pm,W,19,16,58.3,57.6,51.3,67.7,63.1,63.7,47.4,54.6,35.2,34.5,56.3,67.4,64.2
new-york-giants,2022,3,,23,23146,Dallas Cowboys,09/26,8:15pm,L,16,23,61.2,60.5,59.7,35.9,56.4,76.3,77.2,59.0,58.7,49.0,58.7,60.6,60.2
new-york-jets,2022,1,,24,23106,Baltimore Ravens,09/11,1:00pm,L,9,24,59.4,58.6,67.5,43.0,55.5,67.6,59.6,61.1,64.3,66.3,63.8,54.3,78.4
new-york-jets,2022,2,@,24,23119,Cleveland Browns,09/18,1:00pm,W,31,30,65.3,71.0,78.6,64.5,67.7,68.0,53.5,49.8,45.9,31.6,65.8,49.8,63.2
new-york-jets,2022,3,,24,23132,Cincinnati Bengals,09/25,1:00pm,L,12,27,62.3,51.9,27.7,46.6,66.7,63.9,56.5,73.2,78.0,59.3,69.4,64.6,67.5
las-vegas-raiders,2022,1,@,25,23112,Los Angeles Chargers,09/11,4:25pm,L,19,24,64.2,62.9,42.1,55.9,70.2,66.8,68.7,63.1,72.2,77.2,65.8,51.9,57.9
las-vegas-raiders,2022,2,,25,23125,Arizona Cardinals,09/18,4:25pm,L,23,29,66.0,62.6,59.1,66.9,62.7,77.2,50.1,65.6,62.1,57.3,56.9,68.4,59.0
las-vegas-raiders,2022,3,@,25,23137,Tennessee Titans,09/25,1:00pm,L,22,24,64.2,67.6,74.1,64.3,70.4,61.6,43.8,55.3,57.8,56.2,69.7,45.1,59.9
philadelphia-eagles,2022,1,@,26,23104,Detroit Lions,09/11,1:00pm,W,38,35,72.0,72.4,80.8,76.1,64.9,78.6,59.8,63.1,53.6,29.3,71.1,63.1,69.5
philadelphia-eagles,2022,2,,26,23130,Minnesota Vikings,09/19,8:30pm,W,24,7,82.7,78.9,90.7,77.0,77.7,59.6,60.8,76.3,53.0,43.8,66.9,80.8,60.2
philadelphia-eagles,2022,3,@,26,23135,Washington Commanders,09/25,1:00pm,W,24,8,76.6,73.8,70.9,73.6,81.1,40.2,65.8,74.0,67.4,79.5,70.7,70.8,46.8
pittsburgh-steelers,2022,1,@,27,23108,Cincinnati Bengals,09/11,1:00pm,W,23,20,77.0,63.6,60.4,66.1,64.5,56.6,57.7,79.1,82.8,75.5,73.6,74.2,81.5
pittsburgh-steelers,2022,2,,27,23121,New England Patriots,09/18,1:00pm,L,14,17,67.7,70.0,63.5,74.0,68.2,68.9,63.0,63.8,54.2,63.0,60.8,67.0,58.5
pittsburgh-steelers,2022,3,@,27,23131,Cleveland Browns,09/22,8:15pm,L,17,29,64.7,75.8,77.6,74.2,69.0,70.9,63.5,48.7,47.1,44.8,58.1,50.5,67.8
san-francisco-49ers,2022,1,@,28,23099,Chicago Bears,09/11,1:00pm,L,10,19,62.0,61.7,52.2,78.8,58.0,65.1,64.0,63.9,64.4,58.2,59.2,70.9,52.1
san-francisco-49ers,2022,2,,28,23123,Seattle Seahawks,09/18,4:05pm,W,27,7,78.2,67.6,65.1,79.5,67.2,62.2,59.1,82.8,67.7,74.2,71.7,82.3,71.6
san-francisco-49ers,2022,3,@,28,23145,Denver Broncos,09/25,8:20pm,L,10,11,69.7,51.6,47.3,49.2,62.2,47.7,53.1,80.1,72.9,66.6,67.4,81.4,72.5
seattle-seahawks,2022,1,,29,23100,Denver Broncos,09/12,8:15pm,W,17,16,63.6,67.5,78.3,54.2,62.9,63.5,60.1,55.3,52.0,36.7,65.1,51.4,74.8
seattle-seahawks,2022,2,@,29,23123,San Francisco 49ers,09/18,4:05pm,L,7,27,55.9,59.7,48.7,48.8,72.2,66.0,48.7,50.0,58.0,42.7,56.8,46.5,83.2
seattle-seahawks,2022,3,,29,23142,Atlanta Falcons,09/25,4:25pm,L,23,27,61.2,69.6,67.6,64.4,71.8,74.7,46.6,41.3,37.8,53.0,62.0,46.2,75.3
tampa-bay-buccaneers,2022,1,@,30,23113,Dallas Cowboys,09/11,8:20pm,W,19,3,71.0,69.1,68.8,38.1,70.0,54.9,74.8,69.5,68.6,84.6,62.0,69.7,53.7
tampa-bay-buccaneers,2022,2,@,30,23115,New Orleans Saints,09/18,1:00pm,W,20,10,71.3,61.5,76.5,75.9,60.1,48.0,55.9,75.8,56.4,68.7,63.3,88.2,62.7
tampa-bay-buccaneers,2022,3,,30,23143,Green Bay Packers,09/25,4:25pm,L,12,14,71.3,60.7,66.7,55.5,61.0,65.1,50.4,78.3,69.1,70.4,69.0,77.1,60.3
tennessee-titans,2022,1,,31,23110,New York Giants,09/11,4:25pm,L,20,21,78.1,73.5,80.2,73.0,63.1,72.2,67.0,74.1,59.5,55.5,81.5,72.1,81.3
tennessee-titans,2022,2,@,31,23129,Buffalo Bills,09/19,7:15pm,L,7,41,53.4,55.6,39.8,21.2,66.5,55.9,69.9,54.8,64.5,41.9,69.1,45.0,74.8
tennessee-titans,2022,3,,31,23137,Las Vegas Raiders,09/25,1:00pm,W,24,22,72.1,71.6,63.4,62.5,75.1,72.0,58.9,63.5,58.6,67.2,63.7,64.0,66.9
