p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent,week,year,plyr_number
justinfields_chi_2022_7,chi_2022_7,justinfields_chi_2022,chi_2022,justinfields,82118,qb,chi,1,9,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
tuatagovailoa_mia_2022_7,mia_2022_7,tuatagovailoa_mia_2022,mia_2022,tuatagovailoa,60326,qb,mia,1,8,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jacobybrissett_cle_2022_7,cle_2022_7,jacobybrissett_cle_2022,cle_2022,jacobybrissett,10725,qb,cle,1,8,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
cooperrush_dal_2022_7,dal_2022_7,cooperrush_dal_2022,dal_2022,cooperrush,12324,qb,dal,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
joshallen_buf_2022_7,buf_2022_7,joshallen_buf_2022,buf_2022,joshallen,46601,qb,buf,1,8,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jalenhurts_phi_2022_7,phi_2022_7,jalenhurts_phi_2022,phi_2022,jalenhurts,40291,qb,phi,1,7,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
aaronrodgers_gb_2022_7,gb_2022_7,aaronrodgers_gb_2022,gb_2022,aaronrodgers,2241,qb,gb,1,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
mitchelltrubisky_pit_2022_7,pit_2022_7,mitchelltrubisky_pit_2022,pit_2022,mitchelltrubisky,11757,qb,pit,1,7,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
lamarjackson_bal_2022_7,bal_2022_7,lamarjackson_bal_2022,bal_2022,lamarjackson,46416,qb,bal,1,6,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
kylermurray_ari_2022_7,ari_2022_7,kylermurray_ari_2022,ari_2022,kylermurray,38334,qb,ari,1,6,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
tombrady_tb_2022_7,tb_2022_7,tombrady_tb_2022,tb_2022,tombrady,698,qb,tb,1,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
malikwillis_ten_2022_7,ten_2022_7,malikwillis_ten_2022,ten_2022,malikwillis,60341,qb,ten,1,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
trevorlawrence_jax_2022_7,jax_2022_7,trevorlawrence_jax_2022,jax_2022,trevorlawrence,77632,qb,jax,1,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
matthewstafford_lar_2022_7,lar_2022_7,matthewstafford_lar_2022,lar_2022,matthewstafford,4924,qb,lar,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jimmygaroppolo_sf_2022_7,sf_2022_7,jimmygaroppolo_sf_2022,sf_2022,jimmygaroppolo,8697,qb,sf,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
joshallen_buf_2022_7,buf_2022_7,joshallen_buf_2022,buf_2022,joshallen,46601,qb,buf,1,24,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
danieljones_nyg_2022_7,nyg_2022_7,danieljones_nyg_2022,nyg_2022,danieljones,39395,qb,nyg,1,23,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
joeflacco_nyj_2022_7,nyj_2022_7,joeflacco_nyj_2022,nyj_2022,joeflacco,4332,qb,nyj,1,18,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
