p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles,week,year,plyr_number
jeffreyokudah_det_2022_7,det_2022_7,jeffreyokudah_det_2022,det_2022,jeffreyokudah,55674,cb,det,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jamarcusingram_buf_2022_7,buf_2022_7,jamarcusingram_buf_2022,buf_2022,jamarcusingram,55738,cb,buf,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
bryancook_kc_2022_7,kc_2022_7,bryancook_kc_2022,kc_2022,bryancook,55940,s,kc,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
ajparker_det_2022_7,det_2022_7,ajparker_det_2022,det_2022,ajparker,55983,cb,det,1,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
reedblankenship_phi_2022_7,phi_2022_7,reedblankenship_phi_2022,phi_2022,reedblankenship,56065,s,phi,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
keiseannixon_gb_2022_7,gb_2022_7,keiseannixon_gb_2022,gb_2022,keiseannixon,56167,cb,gb,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
ifeatumelifonwu_det_2022_7,det_2022_7,ifeatumelifonwu_det_2022,det_2022,ifeatumelifonwu,56203,s,det,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
neilfarrelljr_lv_2022_7,lv_2022_7,neilfarrelljr_lv_2022,lv_2022,neilfarrelljr,56401,di,lv,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
isaiahbuggs_det_2022_7,det_2022_7,isaiahbuggs_det_2022,det_2022,isaiahbuggs,56503,di,det,1,2,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
demetriustaylor_det_2022_7,det_2022_7,demetriustaylor_det_2022,det_2022,demetriustaylor,56513,di,det,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
