p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,week,year,plyr_number
kylergordon_chi_2022_9,chi_2022_9,kylergordon_chi_2022,chi_2022,kylergordon,83451,cb,chi,1,20,6.7,6.7,0,0,0,0,0,0,0,0,0,9,2022,9
lavontedavid_tb_2022_9,tb_2022_9,lavontedavid_tb_2022,tb_2022,lavontedavid,7060,lb,tb,1,13,6.5,6.5,0,0,0,0,0,0,0,0,0,9,2022,9
willharris_det_2022_9,det_2022_9,willharris_det_2022,det_2022,willharris,51336,cb,det,1,12,6.0,6.0,0,0,0,0,0,0,0,0,0,9,2022,9
daronbland_dal_2022_9,dal_2022_9,daronbland_dal_2022,dal_2022,daronbland,56158,cb,dal,1,18,6.0,4.5,0,0,0,0,0,0,0,0,0,9,2022,9
jabrillpeppers_ne_2022_9,ne_2022_9,jabrillpeppers_ne_2022,ne_2022,jabrillpeppers,11780,s,ne,1,6,6.0,6.0,0,0,0,0,0,0,0,0,0,9,2022,9
jalenpitre_hou_2022_9,hou_2022_9,jalenpitre_hou_2022,hou_2022,jalenpitre,57737,s,hou,1,6,6.0,6.0,0,0,0,0,0,0,0,0,0,9,2022,9
lamarcusjoyner_nyj_2022_9,nyj_2022_9,lamarcusjoyner_nyj_2022,nyj_2022,lamarcusjoyner,8676,s,nyj,1,6,6.0,6.0,0,0,0,0,0,0,0,0,0,9,2022,9
roquansmith_chi_2022_9,chi_2022_9,roquansmith_chi_2022,chi_2022,roquansmith,50892,lb,chi,1,6,6.0,6.0,0,0,0,0,0,0,0,0,0,9,2022,9
harrisonsmith_min_2022_9,min_2022_9,harrisonsmith_min_2022,min_2022,harrisonsmith,7641,s,min,1,11,5.5,5.5,0,0,0,0,0,0,0,0,0,9,2022,9
jevonholland_mia_2022_9,mia_2022_9,jevonholland_mia_2022,mia_2022,jevonholland,83873,s,mia,1,16,5.3,5.3,0,0,0,0,0,0,0,0,0,9,2022,9
fredwarner_sf_2022_9,sf_2022_9,fredwarner_sf_2022,sf_2022,fredwarner,51222,lb,sf,1,5,5.0,5.0,0,0,0,0,0,0,0,0,0,9,2022,9
jaquanbrisker_chi_2022_9,chi_2022_9,jaquanbrisker_chi_2022,chi_2022,jaquanbrisker,101665,s,chi,1,5,5.0,5.0,0,0,0,0,0,0,0,0,0,9,2022,9
deedelaney_tb_2022_9,tb_2022_9,deedelaney_tb_2022,tb_2022,deedelaney,31078,s,tb,1,15,5.0,5.0,0,0,0,0,0,0,0,0,0,9,2022,9
antoniohamilton_ari_2022_9,ari_2022_9,antoniohamilton_ari_2022,ari_2022,antoniohamilton,11353,cb,ari,1,5,5.0,2.5,0,0,0,0,0,0,0,0,0,9,2022,9
isaiaholiver_atl_2022_9,atl_2022_9,isaiaholiver_atl_2022,atl_2022,isaiaholiver,50393,cb,atl,1,15,5.0,2.5,0,0,0,0,0,0,0,0,0,9,2022,9
talanoahufanga_sf_2022_9,sf_2022_9,talanoahufanga_sf_2022,sf_2022,talanoahufanga,83903,s,sf,1,5,5.0,5.0,0,0,0,0,0,0,0,0,0,9,2022,9
richiegrant_atl_2022_9,atl_2022_9,richiegrant_atl_2022,atl_2022,richiegrant,43196,s,atl,1,5,5.0,5.0,0,0,0,0,0,0,0,0,0,9,2022,9
chandonsullivan_min_2022_9,min_2022_9,chandonsullivan_min_2022,min_2022,chandonsullivan,49349,cb,min,1,43,4.8,3.9,0,0,0,0,0,0,0,0,0,9,2022,9
