p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week,year,plyr_number
dontaforeman_car_2022_9,car_2022_9,dontaforeman_car_2022,car_2022,dontaforeman,11844,hb,car,1,26,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
travisetienne_jax_2022_9,jax_2022_9,travisetienne_jax_2022,jax_2022,travisetienne,57185,hb,jax,1,24,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
nickchubb_cle_2022_9,cle_2022_9,nickchubb_cle_2022,cle_2022,nickchubb,45783,hb,cle,1,23,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
aaronjones_gb_2022_9,gb_2022_9,aaronjones_gb_2022,gb_2022,aaronjones,11937,hb,gb,1,20,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
saquonbarkley_nyg_2022_9,nyg_2022_9,saquonbarkley_nyg_2022,nyg_2022,saquonbarkley,45791,hb,nyg,1,20,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
dalvincook_min_2022_9,min_2022_9,dalvincook_min_2022,min_2022,dalvincook,11796,hb,min,1,20,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
alvinkamara_no_2022_9,no_2022_9,alvinkamara_no_2022,no_2022,alvinkamara,11822,hb,no,1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
christianmccaffrey_sf_2022_9,sf_2022_9,christianmccaffrey_sf_2022,sf_2022,christianmccaffrey,11763,hb,sf,1,18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
kennethwalkeriii_sea_2022_9,sea_2022_9,kennethwalkeriii_sea_2022,sea_2022,kennethwalkeriii,97199,hb,sea,1,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
rhamondrestevenson_ne_2022_9,ne_2022_9,rhamondrestevenson_ne_2022,ne_2022,rhamondrestevenson,98689,hb,ne,1,17,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
calebhuntley_atl_2022_9,atl_2022_9,calebhuntley_atl_2022,atl_2022,calebhuntley,57156,hb,atl,1,16,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
khalilherbert_chi_2022_9,chi_2022_9,khalilherbert_chi_2022,chi_2022,khalilherbert,41668,hb,chi,1,16,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
jonathantaylor_ind_2022_9,ind_2022_9,jonathantaylor_ind_2022,ind_2022,jonathantaylor,57488,hb,ind,1,16,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
dameonpierce_hou_2022_9,hou_2022_9,dameonpierce_hou_2022,hou_2022,dameonpierce,83659,hb,hou,1,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
davidmontgomery_chi_2022_9,chi_2022_9,davidmontgomery_chi_2022,chi_2022,davidmontgomery,45719,hb,chi,1,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
tonypollard_dal_2022_9,dal_2022_9,tonypollard_dal_2022,dal_2022,tonypollard,27126,hb,dal,1,14,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
devinsingletary_buf_2022_9,buf_2022_9,devinsingletary_buf_2022,buf_2022,devinsingletary,40485,hb,buf,1,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
raheemmostert_mia_2022_9,mia_2022_9,raheemmostert_mia_2022,mia_2022,raheemmostert,9783,hb,mia,1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
tylerallgeier_atl_2022_9,atl_2022_9,tylerallgeier_atl_2022,atl_2022,tylerallgeier,83639,hb,atl,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
lataviusmurray_den_2022_9,den_2022_9,lataviusmurray_den_2022,den_2022,lataviusmurray,7962,hb,den,1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
kareemhunt_cle_2022_9,cle_2022_9,kareemhunt_cle_2022,cle_2022,kareemhunt,11841,hb,cle,1,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
gusedwards_bal_2022_9,bal_2022_9,gusedwards_bal_2022,bal_2022,gusedwards,46027,hb,bal,1,11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
damienharris_ne_2022_9,ne_2022_9,damienharris_ne_2022,ne_2022,damienharris,35134,hb,ne,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
ajdillon_gb_2022_9,gb_2022_9,ajdillon_gb_2022,gb_2022,ajdillon,57165,hb,gb,1,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
jamaalwilliams_det_2022_9,det_2022_9,jamaalwilliams_det_2022,det_2022,jamaalwilliams,11889,hb,det,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
joshjacobs_lv_2022_9,lv_2022_9,joshjacobs_lv_2022,lv_2022,joshjacobs,45953,hb,lv,1,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
enobenjamin_ari_2022_9,ari_2022_9,enobenjamin_ari_2022,ari_2022,enobenjamin,57136,hb,ari,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
lamarjackson_bal_2022_9,bal_2022_9,lamarjackson_bal_2022,bal_2022,lamarjackson,46416,qb,bal,1,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
melvingordoniii_den_2022_9,den_2022_9,melvingordoniii_den_2022,den_2022,melvingordoniii,9448,hb,den,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
milessanders_phi_2022_9,phi_2022_9,milessanders_phi_2022,phi_2022,milessanders,40555,hb,phi,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
leonardfournette_tb_2022_9,tb_2022_9,leonardfournette_tb_2022,tb_2022,leonardfournette,11759,hb,tb,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
ronnierivers_lar_2022_9,lar_2022_9,ronnierivers_lar_2022,lar_2022,ronnierivers,57208,hb,lar,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
malikdavis_dal_2022_9,dal_2022_9,malikdavis_dal_2022,dal_2022,malikdavis,57196,hb,dal,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
joemixon_cin_2022_9,cin_2022_9,joemixon_cin_2022,cin_2022,joemixon,11803,hb,cin,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
najeeharris_pit_2022_9,pit_2022_9,najeeharris_pit_2022,pit_2022,najeeharris,57121,hb,pit,1,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
brianrobinsonjr_was_2022_9,was_2022_9,brianrobinsonjr_was_2022,was_2022,brianrobinsonjr,57120,hb,was,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
justinfields_chi_2022_9,chi_2022_9,justinfields_chi_2022,chi_2022,justinfields,82118,qb,chi,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
dontrellhilliard_ten_2022_9,ten_2022_9,dontrellhilliard_ten_2022,ten_2022,dontrellhilliard,45691,hb,ten,1,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
kennypickett_pit_2022_9,pit_2022_9,kennypickett_pit_2022,pit_2022,kennypickett,60515,qb,pit,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
