p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,week,year,plyr_number
traiturner_was_2022_9,was_2022_9,traiturner_was_2022,was_2022,traiturner,8727,g,was,1,0,32,61.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
charleslenojr_was_2022_9,was_2022_9,charleslenojr_was_2022,was_2022,charleslenojr,8880,t,was,1,0,32,78.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
corneliuslucas_was_2022_9,was_2022_9,corneliuslucas_was_2022,was_2022,corneliuslucas,9025,t,was,1,0,32,52.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
andrewnorwell_was_2022_9,was_2022_9,andrewnorwell_was_2022,was_2022,andrewnorwell,9126,g,was,1,0,32,70.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
tylershatley_jax_2022_9,jax_2022_9,tylershatley_jax_2022,jax_2022,tylershatley,9257,g,jax,1,0,15,75.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
tylerlarsen_was_2022_9,was_2022_9,tylerlarsen_was_2022,was_2022,tylerlarsen,9304,ol,was,1,0,32,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
brandonscherff_jax_2022_9,jax_2022_9,brandonscherff_jax_2022,jax_2022,brandonscherff,9438,g,jax,1,0,15,70.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
lukefortner_jax_2022_9,jax_2022_9,lukefortner_jax_2022,jax_2022,lukefortner,42028,ol,jax,1,0,15,52.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
rileyreiff_chi_2022_9,chi_2022_9,rileyreiff_chi_2022,chi_2022,rileyreiff,7029,t,chi,1,0,6,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
robhavenstein_lar_2022_9,lar_2022_9,robhavenstein_lar_2022,lar_2022,robhavenstein,9490,t,lar,1,0,26,77.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
bobbyevans_lar_2022_9,lar_2022_9,bobbyevans_lar_2022,lar_2022,bobbyevans,36800,g,lar,1,0,26,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
braxtonjones_chi_2022_9,chi_2022_9,braxtonjones_chi_2022,chi_2022,braxtonjones,60092,t,chi,1,0,6,74.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
colestrange_ne_2022_9,ne_2022_9,colestrange_ne_2022,ne_2022,colestrange,22976,g,ne,1,0,19,32.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
brianallen_lar_2022_9,lar_2022_9,brianallen_lar_2022,lar_2022,brianallen,46104,ol,lar,1,0,26,64.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
alaricjackson_lar_2022_9,lar_2022_9,alaricjackson_lar_2022,lar_2022,alaricjackson,40972,g,lar,1,0,26,69.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
camrobinson_jax_2022_9,jax_2022_9,camrobinson_jax_2022,jax_2022,camrobinson,11789,t,jax,1,1,15,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
michaelschofieldiii_chi_2022_9,chi_2022_9,michaelschofieldiii_chi_2022,chi_2022,michaelschofieldiii,8730,g,chi,1,0,6,70.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
odayaboushi_lar_2022_9,lar_2022_9,odayaboushi_lar_2022,lar_2022,odayaboushi,7923,g,lar,1,0,26,69.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
tytushoward_hou_2022_9,hou_2022_9,tytushoward_hou_2022,hou_2022,tytushoward,25472,t,hou,1,0,13,73.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
scottquessenberry_hou_2022_9,hou_2022_9,scottquessenberry_hou_2022,hou_2022,scottquessenberry,23918,ol,hou,1,0,13,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
sammustipher_chi_2022_9,chi_2022_9,sammustipher_chi_2022,chi_2022,sammustipher,13026,ol,chi,1,0,6,83.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
joshmyers_gb_2022_9,gb_2022_9,joshmyers_gb_2022,gb_2022,joshmyers,59992,ol,gb,1,0,12,60.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
laremytunsil_hou_2022_9,hou_2022_9,laremytunsil_hou_2022,hou_2022,laremytunsil,10647,t,hou,1,0,13,90.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
jonrunyan_gb_2022_9,gb_2022_9,jonrunyan_gb_2022,gb_2022,jonrunyan,36661,g,gb,1,0,12,71.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
yoshnijman_gb_2022_9,gb_2022_9,yoshnijman_gb_2022,gb_2022,yoshnijman,60822,t,gb,1,0,12,65.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
