p_id,player,player_team_id,unique_team_id,team_id_impute,numeric_id,position,team_name,year,week,pass_summary_player_game_count,pass_summary_accuracy_percent,pass_summary_aimed_passes,pass_summary_attempts,pass_summary_avg_depth_of_target,pass_summary_avg_time_to_throw,pass_summary_bats,pass_summary_big_time_throws,pass_summary_btt_rate,pass_summary_completion_percent,pass_summary_completions,pass_summary_declined_penalties,pass_summary_def_gen_pressures,pass_summary_drop_rate,pass_summary_dropbacks,pass_summary_drops,pass_summary_first_downs,pass_summary_franchise_id,pass_summary_grades_hands_fumble,pass_summary_grades_offense,pass_summary_grades_pass,pass_summary_grades_run,pass_summary_hit_as_threw,pass_summary_interceptions,pass_summary_passing_snaps,pass_summary_penalties,pass_summary_pressure_to_sack_rate,pass_summary_qb_rating,pass_summary_sack_percent,pass_summary_sacks,pass_summary_scrambles,pass_summary_spikes,pass_summary_thrown_aways,pass_summary_touchdowns,pass_summary_turnover_worthy_plays,pass_summary_twp_rate,pass_summary_yards,pass_summary_ypa
macjones_ne_2021_2,macjones,macjones_ne_2021,ne_2021_2,ne_2021,60323,qb,ne,2021,2,1,85.7,28,30,4.6,2.66,0,1,3.1,73.3,22,0,7,8.3,33,2,9,19,27.1,58.5,58.6,61.09127155172414,0,0,35,1,42.9,89.0,9.1,3,0,0,2,0,2,5.7,186,6.2
dakprescott_dal_2021_2,dakprescott,dakprescott_dal_2021,dal_2021_2,dal_2021,10769,qb,dal,2021,2,1,85.2,27,27,5.3,2.25,0,0,0.0,85.2,23,0,8,0.0,30,0,13,9,77.6,63.6,64.9,61.09127155172414,0,1,32,1,25.0,87.8,6.7,2,0,0,0,0,1,3.1,237,8.8
aaronrodgers_gb_2021_2,aaronrodgers,aaronrodgers_gb_2021,gb_2021_2,gb_2021,2241,qb,gb,2021,2,1,81.5,27,27,9.2,2.76,0,2,6.9,81.5,22,0,11,0.0,33,0,16,12,78.5,70.6,73.2,50.6,0,0,35,0,27.3,145.6,9.1,3,3,0,0,4,1,2.9,255,9.4
lamarjackson_bal_2021_2,lamarjackson,lamarjackson_bal_2021,bal_2021_2,bal_2021,46416,qb,bal,2021,2,1,76.0,25,26,10.1,2.51,0,0,0.0,69.2,18,0,6,5.3,28,1,12,3,81.1,73.1,58.6,86.2,0,2,34,0,16.7,78.8,3.6,1,1,1,0,1,2,5.9,239,9.2
jalenhurts_phi_2021_2,jalenhurts,jalenhurts_phi_2021,phi_2021_2,phi_2021,40291,qb,phi,2021,2,1,54.5,22,23,15.7,3.49,1,2,8.0,52.2,12,0,14,0.0,30,0,11,24,78.8,76.3,66.1,83.0,0,0,32,0,14.3,80.0,6.7,2,5,0,0,0,1,3.1,190,8.3
jameiswinston_no_2021_2,jameiswinston,jameiswinston_no_2021,no_2021_2,no_2021,9434,qb,no,2021,2,1,68.4,19,22,8.5,2.8,1,1,4.3,50.0,11,0,17,15.4,28,2,4,20,77.4,40.7,34.2,74.9,1,2,29,1,17.6,26.9,10.7,3,2,0,1,0,3,10.3,111,5.0
bakermayfield_cle_2021_2,bakermayfield,bakermayfield_cle_2021,cle_2021_2,cle_2021,46518,qb,cle,2021,2,1,90.5,21,21,5.6,2.9,0,1,4.5,90.5,19,0,4,0.0,28,0,12,8,27.0,66.1,73.2,42.8,0,1,29,0,50.0,105.0,7.1,2,5,0,0,1,2,6.9,213,10.1
davismills_hou_2021_2,davismills,davismills_hou_2021,hou_2021_2,hou_2021,52269,qb,hou,2021,2,1,47.1,17,18,11.4,2.98,0,0,0.0,44.4,8,0,7,0.0,19,0,5,13,24.5,32.7,40.1,38.5,0,1,21,0,14.3,58.1,5.3,1,0,0,1,1,2,9.5,102,5.7
justinfields_chi_2021_2,justinfields,justinfields_chi_2021,chi_2021_2,chi_2021,82118,qb,chi,2021,2,1,53.8,13,13,11.6,3.37,0,2,14.3,46.2,6,0,6,14.3,19,1,4,6,25.6,51.6,47.7,66.9,0,1,20,2,33.3,27.7,10.5,2,4,0,0,0,2,10.0,60,4.6
tyrodtaylor_hou_2021_2,tyrodtaylor,tyrodtaylor_hou_2021,hou_2021_2,hou_2021,6332,qb,hou,2021,2,1,90.9,11,11,4.9,2.69,0,0,0.0,90.9,10,0,4,0.0,12,0,6,13,72.8,78.7,75.0,63.9,0,0,13,0,0.0,144.3,0.0,0,1,0,0,1,0,0.0,125,11.4
andydalton_chi_2021_2,andydalton,andydalton_chi_2021,chi_2021_2,chi_2021,6187,qb,chi,2021,2,1,100.0,9,11,4.7,2.81,1,1,7.7,81.8,9,0,4,0.0,14,0,5,6,73.9,92.4,87.5,78.2,0,0,16,0,25.0,118.2,7.1,1,2,0,1,1,0,0.0,56,5.1
jacobeason_ind_2021_2,jacobeason,jacobeason_ind_2021,ind_2021_2,ind_2021,46444,qb,ind,2021,2,1,40.0,5,5,12.4,2.9,0,0,0.0,40.0,2,0,1,0.0,5,0,2,14,68.0,29.6,31.5,61.09127155172414,0,1,5,0,0.0,16.7,0.0,0,0,0,0,0,1,20.0,25,5.0
