home_matchup_id,away_matchup_id,team_id,schedule_season,schedule_week,team_home_abb,score_home,score_away,away_team_abb,team_favorite_id,spread_favorite,over_under_line,starting_spread,Total Score Open,fav_team_open,fav_team_cur,remain_fav,spread_movement,ou_movement,strong_movement,fav_team_stronger,fav_spread,team_notfav_id,fav_cover,over_under_result,precip,dome,temperature,wind_mph,team_abb,homeoraway,fav_homeoraway,ats_w,ats_l
minvschi_2018_17,chi@min_2018_17,min_2018_17,2018,17,min,10.0,24.0,chi,min,-6.0,39.5,-6.0,41.0,minnesota vikings,minnesota vikings,1,0.0,-1.5,0,0,-6.0,chi,no cover,under,0,1,70,0,min,1,0,0,1
minvsatl_2019_1,atl@min_2019_1,min_2019_1,2019,1,min,28.0,12.0,atl,min,-3.5,47.0,-4.0,47.5,minnesota vikings,minnesota vikings,1,0.5,-0.5,0,0,-3.5,atl,cover,under,0,1,70,0,min,1,0,1,0
minvsoak_2019_3,oak@min_2019_3,min_2019_3,2019,3,min,34.0,14.0,oak,min,-9.0,43.5,-7.5,43.5,minnesota vikings,minnesota vikings,1,-1.5,0.0,0,1,-9.0,oak,cover,over,0,1,70,0,min,1,0,1,0
minvsphi_2019_6,phi@min_2019_6,min_2019_6,2019,6,min,38.0,20.0,phi,min,-3.5,44.5,-3.0,44.0,minnesota vikings,minnesota vikings,1,-0.5,0.5,0,1,-3.5,phi,cover,over,0,1,70,0,min,1,0,1,0
minvswas_2019_8,was@min_2019_8,min_2019_8,2019,8,min,19.0,9.0,was,min,-16.5,42.0,-15.5,41.0,minnesota vikings,minnesota vikings,1,-1.0,1.0,0,1,-16.5,was,no cover,under,0,1,70,0,min,1,0,0,1
minvsden_2019_11,den@min_2019_11,min_2019_11,2019,11,min,27.0,23.0,den,min,-10.0,40.0,-10.0,38.5,minnesota vikings,minnesota vikings,1,0.0,1.5,0,0,-10.0,den,no cover,over,0,1,70,0,min,1,0,0,1
minvsdet_2019_14,det@min_2019_14,min_2019_14,2019,14,min,20.0,7.0,det,min,-11.5,44.0,-13.5,42.5,minnesota vikings,minnesota vikings,1,2.0,1.5,0,0,-11.5,det,cover,under,0,1,70,0,min,1,0,1,0
minvsgb_2019_16,gb@min_2019_16,min_2019_16,2019,16,min,10.0,23.0,gb,min,-4.0,46.5,-4.0,46.5,minnesota vikings,minnesota vikings,1,0.0,0.0,0,0,-4.0,gb,no cover,under,0,1,70,0,min,1,0,0,1
minvschi_2019_17,chi@min_2019_17,min_2019_17,2019,17,min,19.0,21.0,chi,chi,-4.5,36.0,-1.0,37.0,minnesota vikings,chicago bears,0,5.5,-1.0,1,0,-4.5,min,no cover,over,0,1,70,0,min,1,1,1,0
minvsgb_2020_1,gb@min_2020_1,min_2020_1,2020,1,min,34.0,43.0,gb,min,-2.5,44.5,-3.5,46.5,minnesota vikings,minnesota vikings,1,1.0,-2.0,0,0,-2.5,gb,no cover,over,0,1,70,0,min,1,0,0,1
