unique_id,name,team,year,position,height,wt,speed,draft_yr,round,selection
zavencollins_ari_2021,zavencollins,ari,2021,lb,76,260,,2021,1,16
trevonmoehrig_lv_2021,trevonmoehrig,lv,2021,s,74,202,,2021,2,43
nickbolton_kc_2021,nickbolton,kc,2021,lb,71,237,,2021,2,58
micahparsons_dal_2021,micahparsons,dal,2021,lb,75,245,,2021,1,12
azeezojulari_nyg_2021,azeezojulari,nyg,2021,ed,75,240,,2021,2,50
odafeoweh_bal_2021,odafeoweh,bal,2021,ed,77,257,,2021,1,31
christianbarmore_ne_2021,christianbarmore,ne,2021,di,77,310,,2021,2,38
teairtart_ten_2021,teairtart,ten,2021,di,74,304,,2020,10,300
dariushodge_cin_2021,dariushodge,cin,2021,ed,74,245,,2021,10,300
daviyonnixon_car_2021,daviyonnixon,car,2021,di,75,305,,2021,5,159
patricksurtainii_den_2021,patricksurtainii,den,2021,cb,74,202,,2021,1,9
jamiensherwood_nyj_2021,jamiensherwood,nyj,2021,lb,74,216,,2021,5,147
tysoncampbell_jax_2021,tysoncampbell,jax,2021,cb,73,195,,2021,2,33
gregnewsomeii_cle_2021,gregnewsomeii,cle,2021,cb,73,190,,2021,1,26
jayceehorn_car_2021,jayceehorn,car,2021,cb,73,200,,2021,1,8
jevonholland_mia_2021,jevonholland,mia,2021,s,73,210,,2021,2,36
talanoahufanga_sf_2021,talanoahufanga,sf,2021,s,72,200,,2021,5,181
chriswilliams_ind_2021,chriswilliams,ind,2021,di,74,295,,2020,10,300
johncominsky_atl_2021,johncominsky,atl,2021,ed,77,285,,2019,4,135
kyledugger_ne_2021,kyledugger,ne,2021,s,74,220,,2020,2,37
tevaughncampbell_lac_2021,tevaughncampbell,lac,2021,cb,72,195,,2019,10,300
joefortson_kc_2021,joefortson,kc,2021,te,78,230,,2019,10,300
brandinechols_nyj_2021,brandinechols,nyj,2021,cb,70,175,,2021,6,201
michaelhoecht_lar_2021,michaelhoecht,lar,2021,di,76,310,,2020,10,300
andrewsendejo_ind_2021,andrewsendejo,ind,2021,s,73,210,,2010,10,300
joshnorman_sf_2021,joshnorman,sf,2021,cb,72,200,4.66,2012,5,143
justinbethel_ne_2021,justinbethel,ne,2021,cb,72,200,4.58,2012,6,177
starlotulelei_buf_2021,starlotulelei,buf,2021,di,74,315,,2013,1,14
margushunt_chi_2021,margushunt,chi,2021,di,80,298,4.6,2013,2,53
tyrannmathieu_kc_2021,tyrannmathieu,kc,2021,s,69,190,4.5,2013,3,69
ajklein_buf_2021,ajklein,buf,2021,lb,73,240,4.66,2013,5,148
rashaanmelvin_car_2021,rashaanmelvin,car,2021,cb,74,194,,2013,10,300
brandoncopeland_atl_2021,brandoncopeland,atl,2021,ed,75,263,,2013,10,300
bradleyroby_no_2021,bradleyroby,no,2021,cb,71,194,4.39,2014,1,31
joethomas_hou_2021,joethomas,hou,2021,lb,73,232,,2014,10,300
joethomas_bal_2021,joethomas,bal,2021,lb,73,232,,2014,10,300
frankclark_kc_2021,frankclark,kc,2021,ed,75,272,4.79,2015,2,63
robertnkemdiche_sea_2021,robertnkemdiche,sea,2021,di,76,314,4.87,2016,1,29
seandavis_cin_2021,seandavis,cin,2021,s,73,202,4.46,2016,2,58
seandavis_ne_2021,seandavis,ne,2021,s,73,202,4.46,2016,2,58
adamgotsis_jax_2021,adamgotsis,jax,2021,di,76,287,,2016,2,63
deonbush_chi_2021,deonbush,chi,2021,s,72,200,4.64,2016,4,124
tylermatakevich_buf_2021,tylermatakevich,buf,2021,lb,73,235,4.81,2016,7,246
malikhooker_dal_2021,malikhooker,dal,2021,s,74,212,,2017,1,15
ahkellowitherspoon_pit_2021,ahkellowitherspoon,pit,2021,cb,74,195,4.45,2017,3,66
jaleeljohnson_hou_2021,jaleeljohnson,hou,2021,di,75,316,5.38,2017,4,109
elijahlee_cle_2021,elijahlee,cle,2021,lb,75,229,,2017,7,232
kemokoturay_ind_2021,kemokoturay,ind,2021,ed,77,253,4.65,2018,2,52
clelinferrell_lv_2021,clelinferrell,lv,2021,ed,76,265,,2019,1,4
siranneal_buf_2021,siranneal,buf,2021,cb,72,206,4.56,2018,5,154
joegaziano_lac_2021,joegaziano,lac,2021,di,76,275,,2020,10,300
davidlong_ten_2021,davidlong,ten,2021,lb,71,225,,2019,6,188
deedelaney_tb_2021,deedelaney,tb,2021,cb,71,200,4.46,2018,10,300
georgeodum_ind_2021,georgeodum,ind,2021,s,73,202,,2018,10,300
danejackson_buf_2021,danejackson,buf,2021,cb,71,180,,2020,7,239
jordanglasgow_ind_2021,jordanglasgow,ind,2021,lb,73,223,,2020,6,213
matthewadams_ind_2021,matthewadams,ind,2021,lb,72,230,,2018,7,221
justinlayne_pit_2021,justinlayne,pit,2021,cb,74,192,,2019,3,83
camerondantzler_min_2021,camerondantzler,min,2021,cb,74,185,,2020,3,89
rashadweaver_ten_2021,rashadweaver,ten,2021,ed,76,259,,2021,4,136
chrisjackson_ten_2021,chrisjackson,ten,2021,cb,72,186,,2020,7,243
justinstrnad_den_2021,justinstrnad,den,2021,lb,75,235,,2020,5,178
damarhamlin_buf_2021,damarhamlin,buf,2021,s,72,200,,2021,6,213
levionwuzurike_det_2021,levionwuzurike,det,2021,di,75,295,,2021,2,41
julianokwara_det_2021,julianokwara,det,2021,ed,76,239,,2020,3,67
isaiahhloudermilk_pit_2021,isaiahhloudermilk,pit,2021,di,79,293,,2021,5,157
terrellburgess_lar_2021,terrellburgess,lar,2021,s,71,202,,2020,3,104
nyheimhines_ind_2021,nyheimhines,ind,2021,hb,69,196,,2018,4,104
jalynholmes_no_2021,jalynholmes,no,2021,ed,77,283,4.82,2018,4,102
bradleychubb_den_2021,bradleychubb,den,2021,ed,76,275,4.65,2018,1,5
ljcollier_sea_2021,ljcollier,sea,2021,di,74,291,,2019,1,29
treymarshall_lac_2021,treymarshall,lac,2021,s,72,207,,2018,10,300
jordanwhitehead_tb_2021,jordanwhitehead,tb,2021,s,70,198,,2018,4,117
rashadfenton_kc_2021,rashadfenton,kc,2021,cb,71,193,,2019,6,201
dukeshelley_chi_2021,dukeshelley,chi,2021,cb,69,180,,2019,6,205
quincywilliams_nyj_2021,quincywilliams,nyj,2021,lb,71,225,,2019,3,98
harveylangi_ne_2021,harveylangi,ne,2021,lb,74,250,,2017,10,300
tashawnbower_ne_2021,tashawnbower,ne,2021,ed,77,250,4.82,2017,10,300
tashawnbower_min_2021,tashawnbower,min,2021,ed,77,250,4.82,2017,10,300
robertspillane_pit_2021,robertspillane,pit,2021,lb,73,229,,2018,10,300
tyreldodson_buf_2021,tyreldodson,buf,2021,lb,72,237,,2019,10,300
jaquanjohnson_buf_2021,jaquanjohnson,buf,2021,s,70,191,,2019,6,181
