player_name,match_name,score
andylee_ari_2019,andylee_ari_2019,100
clintonmcdonald_ari_2019,clintonmcdonald_ari_2019,100
joshuamiles_ari_2019,joshuamiles_ari_2019,100
jordanmills_ari_2019,jordanmills_ari_2019,100
byronmurphy_ari_2019,byronmurphy_ari_2019,100
justinmurray_ari_2019,justinmurray_ari_2019,100
kylermurray_ari_2019,kylermurray_ari_2019,100
reesodhiambo_ari_2019,,0
kevinpeterson_ari_2019,kevinpeterson_ari_2019,100
justinpugh_ari_2019,justinpugh_ari_2019,100
haasonreddick_ari_2019,haasonreddick_ari_2019,100
brooksreed_ari_2019,brooksreed_ari_2019,100
caraunreid_ari_2019,caraunreid_ari_2019,100
joshshaw_ari_2019,,0
aqshipley_ari_2019,aqshipley_ari_2019,100
terrellsuggs_ari_2019,terrellsuggs_ari_2019,100
williamsweet_ari_2019,,0
pitataumoepenu_ari_2019,,0
deiontethompson_ari_2019,deiontethompson_ari_2019,100
jalenthompson_ari_2019,jalenthompson_ari_2019,100
bretttoth_ari_2019,,0
zeketurner_ari_2019,ezekielturner_ari_2019,93
tannervallejo_ari_2019,tannervallejo_ari_2019,100
joewalker_ari_2019,joewalker_ari_2019,100
charleswashington_ari_2019,charleswashington_ari_2019,100
brandonwilliams_ari_2019,,0
maxxwilliams_ari_2019,maxxwilliams_ari_2019,100
trevorwilliams_ari_2019,trevorwilliams_ari_2019,100
robertalford_ari_2020,,0
zachallen_ari_2020,zachallen_ari_2020,100
danarnold_ari_2020,danarnold_ari_2020,100
buddabaker_ari_2020,buddabaker_ari_2020,100
chrisbanjo_ari_2020,chrisbanjo_ari_2020,100
kelvinbeachum_ari_2020,kelvinbeachum_ari_2020,100
angeloblackson_ari_2020,angeloblackson_ari_2020,100
devondrecampbell_ari_2020,devondrecampbell_ari_2020,100
masoncole_ari_2020,masoncole_ari_2020,100
darrelldaniels_ari_2020,darrelldaniels_ari_2020,100
kenyandrake_ari_2020,kenyandrake_ari_2020,100
chaseedmonds_ari_2020,chaseedmonds_ari_2020,100
kyliefitts_ari_2020,kyliefitts_ari_2020,100
larryfitzgerald_ari_2020,larryfitzgerald_ari_2020,100
lekifotu_ari_2020,lekifotu_ari_2020,100
lamontgaillard_ari_2020,lamontgaillard_ari_2020,100
dennisgardeck_ari_2020,,0
marcusgilbert_ari_2020,,0
zanegonzalez_ari_2020,,0
deandrehopkins_ari_2020,deandrehopkins_ari_2020,100
djhumphries_ari_2020,djhumphries_ari_2020,100
isaiahirving_ari_2020,,0
chandlerjones_ari_2020,chandlerjones_ari_2020,100
joshjones_ari_2020,,0
johnathanjoseph_ari_2020,,0
devonkennard_ari_2020,devonkennard_ari_2020,100
christiankirk_ari_2020,christiankirk_ari_2020,100
drekirkpatrick_ari_2020,drekirkpatrick_ari_2020,100
rashardlawrence_ari_2020,rashardlawrence_ari_2020,100
joshmauro_ari_2020,,0
byronmurphy_ari_2020,byronmurphy_ari_2020,100
justinmurray_ari_2020,justinmurray_ari_2020,100
coreypeters_ari_2020,coreypeters_ari_2020,100
kevinpeterson_ari_2020,,0
jordanphillips_ari_2020,jordanphillips_ari_2020,100
justinpugh_ari_2020,justinpugh_ari_2020,100
haasonreddick_ari_2020,haasonreddick_ari_2020,100
trentsherfield_ari_2020,,0
isaiahsimmons_ari_2020,isaiahsimmons_ari_2020,100
jrsweezy_ari_2020,jrsweezy_ari_2020,100
deiontethompson_ari_2020,deiontethompson_ari_2020,100
jalenthompson_ari_2020,jalenthompson_ari_2020,100
bretttoth_ari_2020,,0
zeketurner_ari_2020,,0
tannervallejo_ari_2020,tannervallejo_ari_2020,100
charleswashington_ari_2020,charleswashington_ari_2020,100
maxxwilliams_ari_2020,maxxwilliams_ari_2020,100
robertalford_ari_2021,robertalford_ari_2021,100
zachallen_ari_2021,zachallen_ari_2021,100
buddabaker_ari_2021,buddabaker_ari_2021,100
kelvinbeachum_ari_2021,kelvinbeachum_ari_2021,100
enobenjamin_ari_2021,,0
aaronbrewer_ari_2021,,0
jamesconner_ari_2021,jamesconner_ari_2021,100
jackcrawford_ari_2021,,0
darrelldaniels_ari_2021,darrelldaniels_ari_2021,100
darquezedennard_ari_2021,,0
chaseedmonds_ari_2021,chaseedmonds_ari_2021,100
zachertz_ari_2021,,0
kyliefitts_ari_2021,kyliefitts_ari_2021,100
lekifotu_ari_2021,lekifotu_ari_2021,100
maxgarcia_ari_2021,maxgarcia_ari_2021,100
dennisgardeck_ari_2021,,0
antoniohamilton_ari_2021,antoniohamilton_ari_2021,100
seanharlow_ari_2021,seanharlow_ari_2021,100
demetriusharris_ari_2021,demetriusharris_ari_2021,100
jordanhicks_ari_2021,jordanhicks_ari_2021,100
deandrehopkins_ari_2021,deandrehopkins_ari_2021,100
rodneyhudson_ari_2021,rodneyhudson_ari_2021,100
devonkennard_ari_2021,devonkennard_ari_2021,100
zachkerr_ari_2021,,0
rashardlawrence_ari_2021,rashardlawrence_ari_2021,100
coltmccoy_ari_2021,,0
joshuamiles_ari_2021,,0
rondalemoore_ari_2021,rondalemoore_ari_2021,100
byronmurphy_ari_2021,byronmurphyjr_ari_2021,95
justinmurray_ari_2021,justinmurray_ari_2021,100
kylermurray_ari_2021,kylermurray_ari_2021,100
kylenelson_ari_2021,,0
coreypeters_ari_2021,coreypeters_ari_2021,100
jordanphillips_ari_2021,,0
justinpugh_ari_2021,justinpugh_ari_2021,100
zeketurner_ari_2021,ezekielturner_ari_2021,93
tannervallejo_ari_2021,tannervallejo_ari_2021,100
jonathanward_ari_2021,jonathanward_ari_2021,100
charleswashington_ari_2021,charleswashington_ari_2021,100
jjwatt_ari_2021,jjwatt_ari_2021,100
davidwells_ari_2021,,0
antoinewesley_ari_2021,antoinewesley_ari_2021,100
jameswiggins_ari_2021,,0
maxxwilliams_ari_2021,maxxwilliams_ari_2021,100
marcowilson_ari_2021,marcowilson_ari_2021,100
brianwinters_ari_2021,brianwinters_ari_2021,100
robertalford_atl_2014,robertalford_atl_2014,100
jonasamoah_atl_2014,jonasamoah_atl_2014,100
jonathanbabineaux_atl_2014,jonathanbabineaux_atl_2014,100
sambaker_atl_2014,seanbaker_atl_2014,91
justinblalock_atl_2014,justinblalock_atl_2014,100
mattbryant_atl_2014,mattbryant_atl_2014,100
gabecarimi_atl_2014,gabecarimi_atl_2014,100
drewdavis_atl_2014,drewdavis_atl_2014,100
patrickdimarco_atl_2014,patrickdimarco_atl_2014,100
harrydouglas_atl_2014,harrydouglas_atl_2014,100
joehawley_atl_2014,joehawley_atl_2014,100
devinhester_atl_2014,devinhester_atl_2014,100
lamarholmes_atl_2014,lamarholmes_atl_2014,100
kemalishmael_atl_2014,kemalishmael_atl_2014,100
stevenjackson_atl_2014,stevenjackson_atl_2014,100
mikejohnson_atl_2014,,0
juliojones_atl_2014,juliojones_atl_2014,100
peterkonz_atl_2014,peterkonz_atl_2014,100
stanslymaponga_atl_2014,stanslymaponga_atl_2014,100
jonathanmassaquoi_atl_2014,jonathanmassaquoi_atl_2014,100
jakematthews_atl_2014,jakematthews_atl_2014,100
robertmcclain_atl_2014,robertmcclain_atl_2014,100
williammoore_atl_2014,williammoore_atl_2014,100
zekemotta_atl_2014,,0
coreypeters_atl_2014,coreypeters_atl_2014,100
jonathanscott_atl_2014,jonathanscott_atl_2014,100
princeshembo_atl_2014,princeshembo_atl_2014,100
antonesmith_atl_2014,antonesmith_atl_2014,100
paulsoliai_atl_2014,paulsoliai_atl_2014,100
dezmensouthward_atl_2014,dezmensouthward_atl_2014,100
marquisspruill_atl_2014,,0
nathanstupar_atl_2014,natestupar_atl_2014,90
seanweatherspoon_atl_2014,,0
roddywhite_atl_2014,roddywhite_atl_2014,100
joshwilson_atl_2014,joshwilson_atl_2014,100
phillipadams_atl_2015,phillipadams_atl_2015,100
robertalford_atl_2015,robertalford_atl_2015,100
ricardoallen_atl_2015,ricardoallen_atl_2015,100
jonasamoah_atl_2015,jonasamoah_atl_2015,100
jonathanbabineaux_atl_2015,jonathanbabineaux_atl_2015,100
joplobartu_atl_2015,joplobartu_atl_2015,100
vicbeasley_atl_2015,vicbeasleyjr_atl_2015,95
kroybiermann_atl_2015,kroybiermann_atl_2015,100
mattbryant_atl_2015,mattbryant_atl_2015,100
chrischester_atl_2015,chrischester_atl_2015,100
adrianclayborn_atl_2015,adrianclayborn_atl_2015,100
tevincoleman_atl_2015,tevincoleman_atl_2015,100
justindurant_atl_2015,justindurant_atl_2015,100
devontafreeman_atl_2015,devontafreeman_atl_2015,100
malliciahgoodman_atl_2015,malliciahgoodman_atl_2015,100
shaynegraham_atl_2015,shaynegraham_atl_2015,100
rashedehageman_atl_2015,rashedehageman_atl_2015,100
leonardhankerson_atl_2015,leonardhankerson_atl_2015,100
devinhester_atl_2015,devinhester_atl_2015,100
lamarholmes_atl_2015,,0
travishoward_atl_2015,,0
kemalishmael_atl_2015,kemalishmael_atl_2015,100
tysonjackson_atl_2015,tysonjackson_atl_2015,100
gradyjarrett_atl_2015,gradyjarrett_atl_2015,100
juliojones_atl_2015,juliojones_atl_2015,100
andylevitre_atl_2015,andylevitre_atl_2015,100
jakematthews_atl_2015,jakematthews_atl_2015,100
tonymoeaki_atl_2015,tonymoeaki_atl_2015,100
collinmooney_atl_2015,,0
williammoore_atl_2015,williammoore_atl_2015,100
michaelperson_atl_2015,mikeperson_atl_2015,88
brooksreed_atl_2015,brooksreed_atl_2015,100
mattryan_atl_2015,mattryan_atl_2015,100
obrienschofield_atl_2015,obrienschofield_atl_2015,100
paulsoliai_atl_2015,paulsoliai_atl_2015,100
jamesstone_atl_2015,jamesstone_atl_2015,100
jacobtamme_atl_2015,jacobtamme_atl_2015,100
robensontherezie_atl_2015,robensontherezie_atl_2015,100
desmondtrufant_atl_2015,desmondtrufant_atl_2015,100
ericweems_atl_2015,ericweems_atl_2015,100
roddywhite_atl_2015,roddywhite_atl_2015,100
nickwilliams_atl_2015,nickwilliams_atl_2015,100
paulworrilow_atl_2015,paulworrilow_atl_2015,100
matthewbosher_atl_2016,mattbosher_atl_2016,93
devondrecampbell_atl_2016,devondrecampbell_atl_2016,100
adrianclayborn_atl_2016,adrianclayborn_atl_2016,100
tevincoleman_atl_2016,tevincoleman_atl_2016,100
jalencollins_atl_2016,jalencollins_atl_2016,100
dwightfreeney_atl_2016,dwightfreeney_atl_2016,100
devinfuller_atl_2016,,0
taylorgabriel_atl_2016,taylorgabriel_atl_2016,100
dashongoldson_atl_2016,dashongoldson_atl_2016,100
cjgoodwin_atl_2016,cjgoodwin_atl_2016,100
austinhooper_atl_2016,austinhooper_atl_2016,100
kemalishmael_atl_2016,kemalishmael_atl_2016,100
deionjones_atl_2016,deionjones_atl_2016,100
juliojones_atl_2016,juliojones_atl_2016,100
akeemking_atl_2016,,0
jakematthews_atl_2016,jakematthews_atl_2016,100
chrismayes_atl_2016,,0
keanuneal_atl_2016,keanuneal_atl_2016,100
brooksreed_atl_2016,brooksreed_atl_2016,100
mohamedsanu_atl_2016,mohamedsanu_atl_2016,100
derrickshelby_atl_2016,derrickshelby_atl_2016,100
tylerstarr_atl_2016,,0
jacobtamme_atl_2016,jacobtamme_atl_2016,100
desmondtrufant_atl_2016,desmondtrufant_atl_2016,100
demarcusvandyke_atl_2016,,0
terronward_atl_2016,terronward_atl_2016,100
seanweatherspoon_atl_2016,seanweatherspoon_atl_2016,100
nickwilliams_atl_2016,nickwilliams_atl_2016,100
ricardoallen_atl_2017,ricardoallen_atl_2017,100
vicbeasley_atl_2017,vicbeasleyjr_atl_2017,95
matthewbosher_atl_2017,mattbosher_atl_2017,93
mattbryant_atl_2017,mattbryant_atl_2017,100
tevincoleman_atl_2017,tevincoleman_atl_2017,100
jackcrawford_atl_2017,jackcrawford_atl_2017,100
devontafreeman_atl_2017,devontafreeman_atl_2017,100
devinfuller_atl_2017,,0
jermainegrace_atl_2017,jermainegrace_atl_2017,100
brianhill_atl_2017,brianhill_atl_2017,100
andylevitre_atl_2017,andylevitre_atl_2017,100
alexmack_atl_2017,alexmack_atl_2017,100
quincymauger_atl_2017,,0
austinpasztor_atl_2017,austinpasztor_atl_2017,100
laroyreynolds_atl_2017,laroyreynolds_atl_2017,100
dukeriley_atl_2017,dukeriley_atl_2017,100
tysambrailo_atl_2017,tysambrailo_atl_2017,100
mohamedsanu_atl_2017,mohamedsanu_atl_2017,100
ericsaubert_atl_2017,ericsaubert_atl_2017,100
ryanschraeder_atl_2017,ryanschraeder_atl_2017,100
levinetoilolo_atl_2017,levinetoilolo_atl_2017,100
jordantripp_atl_2017,jordantripp_atl_2017,100
desmondtrufant_atl_2017,desmondtrufant_atl_2017,100
courtneyupshaw_atl_2017,courtneyupshaw_atl_2017,100
terronward_atl_2017,terronward_atl_2017,100
seanweatherspoon_atl_2017,seanweatherspoon_atl_2017,100
robertalford_atl_2018,robertalford_atl_2018,100
ricardoallen_atl_2018,ricardoallen_atl_2018,100
justinbethel_atl_2018,justinbethel_atl_2018,100
mattbryant_atl_2018,mattbryant_atl_2018,100
devontafreeman_atl_2018,devontafreeman_atl_2018,100
brandonfusco_atl_2018,brandonfusco_atl_2018,100
russellgage_atl_2018,russellgage_atl_2018,100
bengarland_atl_2018,bengarland_atl_2018,100
joshharris_atl_2018,joshharris_atl_2018,100
gradyjarrett_atl_2018,gradyjarrett_atl_2018,100
deionjones_atl_2018,deionjones_atl_2018,100
juliojones_atl_2018,juliojones_atl_2018,100
andylevitre_atl_2018,andylevitre_atl_2018,100
terrellmcclain_atl_2018,terrellmcclain_atl_2018,100
takkaristmckinley_atl_2018,takkaristmckinley_atl_2018,100
keanuneal_atl_2018,keanuneal_atl_2018,100
coreynelson_atl_2018,coreynelson_atl_2018,100
loganpaulsen_atl_2018,loganpaulsen_atl_2018,100
wesschweitzer_atl_2018,wesschweitzer_atl_2018,100
derrickshelby_atl_2018,derrickshelby_atl_2018,100
itosmith_atl_2018,itosmith_atl_2018,100
blidiwrehwilson_atl_2018,blidiwrehwilson_atl_2018,100
allenbailey_atl_2019,allenbailey_atl_2019,100
kenjonbarner_atl_2019,kenjonbarner_atl_2019,100
kurtbenkert_atl_2019,,0
michaelbennett_atl_2019,,0
matthewbosher_atl_2019,mattbosher_atl_2019,93
jamonbrown_atl_2019,jamonbrown_atl_2019,100
ryanbrown_atl_2019,jamonbrown_atl_2019,86
tavezecalhoun_atl_2019,,0
jamescarpenter_atl_2019,jamescarpenter_atl_2019,100
adrianclayborn_atl_2019,adrianclayborn_atl_2019,100
johncominsky_atl_2019,johncominsky_atl_2019,100
johnathancyprien_atl_2019,johnathancyprien_atl_2019,100
devontafreeman_atl_2019,devontafreeman_atl_2019,100
russellgage_atl_2019,russellgage_atl_2019,100
mattgono_atl_2019,mattgono_atl_2019,100
alexgray_atl_2019,,0
rashedehageman_atl_2019,,0
austinhooper_atl_2019,austinhooper_atl_2019,100
kemalishmael_atl_2019,kemalishmael_atl_2019,100
gradyjarrett_atl_2019,gradyjarrett_atl_2019,100
juliojones_atl_2019,juliojones_atl_2019,100
damontaekazee_atl_2019,damontaekazee_atl_2019,100
chrislindstrom_atl_2019,chrislindstrom_atl_2019,100
takkaristmckinley_atl_2019,takkaristmckinley_atl_2019,100
stevenmeans_atl_2019,,0
keanuneal_atl_2019,keanuneal_atl_2019,100
