,unique_id,name,team,year,position,height,wt,speed,draft_yr,round,selection
403,shaquillgriffin_jax_2021,shaquillgriffin,jax,2021,cb,72,198,4.38,2017,3,90
404,jourdanlewis_dal_2021,jourdanlewis,dal,2021,cb,70,195,4.54,2017,3,92
405,johnjohnsoniii_cle_2021,johnjohnsoniii,cle,2021,s,72,209,4.61,2017,3,91
406,montraviusadams_pit_2021,montraviusadams,pit,2021,di,76,304,4.87,2017,3,93
407,cameronsutton_pit_2021,cameronsutton,pit,2021,cb,71,188,4.52,2017,3,94
408,rasuldouglas_gb_2021,rasuldouglas,gb,2021,cb,74,209,4.59,2017,3,99
409,treyhendrickson_cin_2021,treyhendrickson,cin,2021,ed,76,270,4.65,2017,3,103
410,eddiejackson_chi_2021,eddiejackson,chi,2021,s,72,206,,2017,4,112
411,rayshawnjenkins_jax_2021,rayshawnjenkins,jax,2021,s,73,220,4.51,2017,4,113
412,carllawson_nyj_2021,carllawson,nyj,2021,ed,74,265,4.67,2017,4,116
413,samsonebukam_sf_2021,samsonebukam,sf,2021,ed,75,245,,2017,4,125
414,deatrichwisejr_ne_2021,deatrichwisejr,ne,2021,ed,77,275,4.92,2017,4,131
415,groverstewart_ind_2021,groverstewart,ind,2021,di,76,315,,2017,4,144
416,desmondkingii_hou_2021,desmondkingii,hou,2021,cb,70,200,,2017,5,151
417,jayonbrown_lv_2021,jayonbrown,lv,2021,lb,72,226,4.7,2017,5,155
418,anthonywalker_cle_2021,anthonywalker,cle,2021,lb,73,242,4.65,2017,5,161
419,mattmilano_buf_2021,mattmilano,buf,2021,lb,72,223,4.67,2017,5,163
420,davongodchaux_ne_2021,davongodchaux,ne,2021,di,75,311,5.27,2017,5,178
421,chuckclark_bal_2021,chuckclark,bal,2021,s,72,209,4.54,2017,6,186
422,xavierwoods_car_2021,xavierwoods,car,2021,s,71,200,4.54,2017,6,191
423,tannervallejo_ari_2021,tannervallejo,ari,2021,lb,73,230,4.67,2017,6,195
424,alquadinmuhammad_chi_2021,alquadinmuhammad,chi,2021,ed,75,250,4.88,2017,6,196
425,djjones_den_2021,djjones,den,2021,di,72,305,5.04,2017,6,198
426,ifeadiodenigbo_ind_2021,ifeadiodenigbo,ind,2021,ed,75,258,4.72,2017,7,220
427,isaacrochell_cle_2021,isaacrochell,cle,2021,ed,75,280,4.89,2017,7,225
428,elijahlee_kc_2021,elijahlee,kc,2021,lb,75,229,,2017,7,232
429,michaeldavis_lac_2021,michaeldavis,lac,2021,cb,74,196,,2017,10,300
430,joshtupou_cin_2021,joshtupou,cin,2021,di,75,340,,2017,10,300
431,arthurmaulet_pit_2021,arthurmaulet,pit,2021,cb,70,190,4.62,2017,10,300
432,joejones_ten_2021,joejones,ten,2021,lb,72,240,,2017,10,300
433,sionetakitaki_cle_2021,sionetakitaki,cle,2021,lb,73,238,,2019,3,80
434,jonathanledbetter_ari_2021,jonathanledbetter,ari,2021,di,76,280,,2019,10,300
435,dylancole_ten_2021,dylancole,ten,2021,lb,72,237,,2017,10,300
436,nathanshepherd_nyj_2021,nathanshepherd,nyj,2021,di,76,315,5.09,2018,3,72
437,foyesadeoluokun_jax_2021,foyesadeoluokun,jax,2021,lb,74,229,,2018,6,200
438,deiontethompson_ari_2021,deiontethompson,ari,2021,s,73,195,,2019,5,139
439,leviwallace_pit_2021,leviwallace,pit,2021,cb,72,179,4.63,2018,10,300
440,bravvionroy_car_2021,bravvionroy,car,2021,di,73,330,,2020,6,184
441,clelinferrell_lv_2021,clelinferrell,lv,2021,ed,76,265,,2019,1,4
442,dexterlawrence_nyg_2021,dexterlawrence,nyg,2021,di,76,342,,2019,1,17
443,maxxcrosby_lv_2021,maxxcrosby,lv,2021,ed,77,255,,2019,4,106
444,benbanogu_ind_2021,benbanogu,ind,2021,ed,75,252,,2019,2,49
445,djreedjr_nyj_2021,djreedjr,nyj,2021,cb,69,188,4.51,2018,5,142
446,siranneal_buf_2021,siranneal,buf,2021,cb,72,206,4.56,2018,5,154
447,montezsweat_was_2021,montezsweat,was,2021,ed,78,262,,2019,1,26
448,devinbush_pit_2021,devinbush,pit,2021,lb,71,234,,2019,1,10
449,michaeldwumfour_hou_2021,michaeldwumfour,hou,2021,di,73,296,,2021,10,300
450,davidlongjr_lar_2021,davidlongjr,lar,2021,cb,71,196,,2019,3,79
451,joshuche_ne_2021,joshuche,ne,2021,ed,75,245,,2020,2,60
452,armonwatts_chi_2021,armonwatts,chi,2021,di,77,295,,2019,6,190
453,davonhamilton_jax_2021,davonhamilton,jax,2021,di,76,320,,2020,3,73
454,dremontjones_den_2021,dremontjones,den,2021,di,75,281,,2019,3,71
455,malikharrison_bal_2021,malikharrison,bal,2021,lb,75,259,,2020,3,98
456,jeromebaker_mia_2021,jeromebaker,mia,2021,lb,74,225,4.53,2018,3,73
457,nevillegallimore_dal_2021,nevillegallimore,dal,2021,di,74,302,,2020,3,82
458,kevingivens_sf_2021,kevingivens,sf,2021,di,73,285,,2019,10,300
459,bilalnichols_lv_2021,bilalnichols,lv,2021,di,76,290,4.95,2018,5,145
460,deshonelliott_det_2021,deshonelliott,det,2021,s,73,210,4.58,2018,6,190
461,jackjones_ne_2021,jackjones,ne,2021,cb,71,175,,2022,4,121
462,dariusharris_kc_2021,dariusharris,kc,2021,lb,74,232,,2019,10,300
463,davidlong_ten_2021,davidlong,ten,2021,lb,71,225,,2019,6,188
464,germainepratt_cin_2021,germainepratt,cin,2021,lb,75,250,,2019,3,72
465,chrisboard_det_2021,chrisboard,det,2021,lb,74,239,,2018,10,300
466,loganwilson_cin_2021,loganwilson,cin,2021,lb,74,245,,2020,3,65
467,andrewvanginkel_mia_2021,andrewvanginkel,mia,2021,ed,76,236,,2019,5,151
468,tjedwards_phi_2021,tjedwards,phi,2021,lb,73,242,,2019,10,300
469,khalensaunders_kc_2021,khalensaunders,kc,2021,di,72,324,,2019,3,84
470,danejackson_buf_2021,danejackson,buf,2021,cb,71,180,,2020,7,239
471,ericjohnson_ind_2021,ericjohnson,ind,2021,di,76,299,,2022,5,159
472,nasiradderley_lac_2021,nasiradderley,lac,2021,s,72,206,,2019,2,60
473,mikehughes_det_2021,mikehughes,det,2021,cb,70,191,4.53,2018,1,30
474,darnellsavage_gb_2021,darnellsavage,gb,2021,s,71,198,,2019,1,21
475,johnathanabram_lv_2021,johnathanabram,lv,2021,s,72,205,,2019,1,27
476,akeemdavisgaither_cin_2021,akeemdavisgaither,cin,2021,lb,74,228,,2020,4,107
477,jameldean_tb_2021,jameldean,tb,2021,cb,73,206,,2019,3,94
478,trevisgipson_chi_2021,trevisgipson,chi,2021,ed,76,263,,2020,5,155
479,taecrowder_nyg_2021,taecrowder,nyg,2021,lb,73,235,,2020,7,255
480,jonasgriffith_den_2021,jonasgriffith,den,2021,lb,76,250,,2020,10,300
481,darrelltaylor_sea_2021,darrelltaylor,sea,2021,ed,76,255,,2020,2,48
482,austinbryant_det_2021,austinbryant,det,2021,ed,77,250,,2019,4,117
483,shytuttle_no_2021,shytuttle,no,2021,di,75,300,,2019,10,300
484,quintonbell_atl_2021,quintonbell,atl,2021,lb,76,253,,2019,7,230
485,camrynbynum_min_2021,camrynbynum,min,2021,s,72,200,,2021,4,126
486,bryanmone_sea_2021,bryanmone,sea,2021,di,75,366,,2019,10,300
487,caseytoohill_was_2021,caseytoohill,was,2021,ed,77,254,,2020,7,233
488,matthewadams_chi_2021,matthewadams,chi,2021,lb,72,230,,2018,7,221
489,marquisecopeland_lar_2021,marquisecopeland,lar,2021,di,74,287,,2019,10,300
