away_matchup_id,precip,dome,temperature,wind_mph
ari@phi_2015_15,0,0,34,3
det@no_2015_15,0,1,70,0
lac@oak_2015_16,1,0,46,8
was@phi_2015_16,0,0,50,5
ne@nyj_2015_16,1,0,56,7
hou@ten_2015_16,1,0,72,10
cle@kc_2015_16,1,0,34,12
ind@mia_2015_16,0,0,81,13
sf@det_2015_16,0,1,70,0
dal@buf_2015_16,1,0,37,5
chi@tb_2015_16,0,0,83,11
car@atl_2015_16,0,1,70,0
pit@bal_2015_16,1,0,63,6
jax@no_2015_16,0,1,70,0
lar@sea_2015_16,1,0,37,2
gb@ari_2015_16,0,1,70,0
nyg@min_2015_16,0,0,12,5
cin@den_2015_16,0,0,16,0
nyj@buf_2015_17,1,0,30,10
ne@mia_2015_17,1,0,78,4
no@atl_2015_17,0,1,70,0
bal@cin_2015_17,0,0,33,5
pit@cle_2015_17,1,0,34,12
jax@hou_2015_17,0,0,56,4
ten@ind_2015_17,0,1,70,0
was@dal_2015_17,0,0,54,4
phi@nyg_2015_17,0,0,44,10
det@chi_2015_17,0,0,30,10
tb@car_2015_17,0,0,48,5
oak@kc_2015_17,0,0,32,7
lac@den_2015_17,0,0,44,0
sea@ari_2015_17,0,1,70,0
lar@sf_2015_17,1,0,57,0
min@gb_2015_17,1,0,23,5
car@den_2016_1,0,0,82,2
tb@atl_2016_1,0,1,70,0
min@ten_2016_1,0,0,77,3
cle@phi_2016_1,1,0,83,9
cin@nyj_2016_1,1,0,80,9
oak@no_2016_1,0,1,70,0
lac@kc_2016_1,0,0,73,7
buf@bal_2016_1,1,0,82,7
chi@hou_2016_1,0,0,87,2
gb@jax_2016_1,0,0,91,1
mia@sea_2016_1,1,0,64,2
nyg@dal_2016_1,0,0,87,2
det@ind_2016_1,0,1,70,0
ne@ari_2016_1,0,1,70,0
pit@was_2016_1,0,0,76,3
lar@sf_2016_1,0,0,60,6
nyj@buf_2016_2,0,0,54,2
sf@car_2016_2,1,0,85,3
dal@was_2016_2,1,0,84,5
cin@pit_2016_2,1,0,71,3
no@nyg_2016_2,1,0,79,5
mia@ne_2016_2,1,0,78,6
kc@hou_2016_2,1,0,89,2
ten@det_2016_2,0,1,70,0
bal@cle_2016_2,1,0,75,5
sea@lar_2016_2,0,0,85,4
tb@ari_2016_2,0,1,70,0
jax@lac_2016_2,0,0,78,5
atl@oak_2016_2,0,0,83,3
ind@den_2016_2,0,0,86,1
gb@min_2016_2,0,1,70,0
phi@chi_2016_2,0,0,80,2
hou@ne_2016_3,0,0,68,3
ari@buf_2016_3,0,0,62,1
oak@ten_2016_3,0,0,89,3
was@nyg_2016_3,0,0,67,4
cle@mia_2016_3,1,0,85,7
bal@jax_2016_3,1,0,87,4
det@gb_2016_3,1,0,72,10
den@cin_2016_3,0,0,82,0
min@car_2016_3,1,0,84,2
lar@tb_2016_3,1,0,89,3
sf@sea_2016_3,0,0,69,2
nyj@kc_2016_3,1,0,65,6
lac@ind_2016_3,0,1,70,0
pit@phi_2016_3,0,0,71,1
chi@dal_2016_3,1,0,75,4
atl@no_2016_3,0,1,70,0
mia@cin_2016_4,1,0,59,0
ind@jax_2016_4,0,0,58,6
ten@hou_2016_4,0,0,82,4
cle@was_2016_4,1,0,70,1
sea@nyj_2016_4,0,0,61,0
buf@ne_2016_4,0,0,56,2
car@atl_2016_4,0,1,70,0
oak@bal_2016_4,1,0,67,0
det@chi_2016_4,0,0,64,2
den@tb_2016_4,1,0,89,4
lar@ari_2016_4,0,1,70,0
no@lac_2016_4,0,0,73,6
dal@sf_2016_4,0,0,68,8
kc@pit_2016_4,1,0,60,0
nyg@min_2016_4,0,1,70,0
ari@sf_2016_5,0,0,72,7
ne@cle_2016_5,0,0,57,9
phi@det_2016_5,0,1,70,0
chi@ind_2016_5,0,1,70,0
ten@mia_2016_5,0,0,87,12
was@bal_2016_5,1,0,61,12
hou@min_2016_5,0,1,70,0
nyj@pit_2016_5,0,0,57,6
atl@den_2016_5,0,0,73,1
cin@dal_2016_5,0,0,74,3
buf@lar_2016_5,0,0,87,5
lac@oak_2016_5,0,0,78,4
nyg@gb_2016_5,0,0,48,2
tb@car_2016_5,0,0,57,2
den@lac_2016_6,0,0,69,6
sf@buf_2016_6,1,0,72,9
phi@was_2016_6,0,0,69,5
cle@ten_2016_6,0,0,79,7
bal@nyg_2016_6,0,0,66,6
car@no_2016_6,0,1,70,0
jax@chi_2016_6,1,0,67,3
lar@det_2016_6,0,1,70,0
pit@mia_2016_6,1,0,82,11
cin@ne_2016_6,0,0,66,7
kc@oak_2016_6,1,0,61,5
atl@sea_2016_6,1,0,54,5
dal@gb_2016_6,0,0,67,4
ind@hou_2016_6,0,0,80,6
nyj@ari_2016_6,0,1,70,0
chi@gb_2016_7,0,0,47,3
nyg@lar_2016_7,0,0,54,10
no@kc_2016_7,0,0,69,6
ind@ten_2016_7,0,0,71,5
