Player,Team,Pos,Injury,Status,Est. Return
Jake Hanson,GB,C,Biceps,IR,Subscribers Only
Tre Harbison,FA,RB,Concussion,Questionable,Subscribers Only
Daniel Hardy,LAR,LB,Ankle,IR,Subscribers Only
Charles Harris,DET,DE,Groin,Questionable,Subscribers Only
Clark Harris,CIN,C,Biceps,IR,Subscribers Only
Dwayne Harris,FA,WR,Triceps,Questionable,Subscribers Only
Nick Harris,CLE,C,Knee,IR,Subscribers Only
Trent Harris,FA,LB,Undisclosed,Questionable,Subscribers Only
Will Harris,DET,CB,Hip,Questionable,Subscribers Only
Penny Hart,SEA,WR,Hamstring,Questionable,Subscribers Only
Montre Hartage,FA,S,Undisclosed,Questionable,Subscribers Only
Deonte Harty,NO,WR,Foot,IR,Subscribers Only
Kolby Harvell-Peel,FA,S,Hamstring,Questionable,Subscribers Only
Jaylinn Hawkins,ATL,S,Concussion,Out,Subscribers Only
Jerald Hawkins,FA,OT,Undisclosed,Questionable,Subscribers Only
Daelin Hayes,BAL,LB,Undisclosed,IR,Subscribers Only
Marquis Hayes,ARI,OG,Knee,IR,Subscribers Only
Phil Haynes,SEA,OG,Concussion,Questionable,Subscribers Only
Casey Hayward,ATL,CB,Shoulder,IR,Subscribers Only
Joel Heath,FA,DE,Knee - ACL,Questionable,Subscribers Only
CJ Henderson,CAR,CB,Shoulder,Questionable,Subscribers Only
Trey Hendrickson,CIN,DE,Neck,Questionable,Subscribers Only
Thomas Hennigan,MIN,WR,Undisclosed,IR,Subscribers Only
Chandon Herring,FA,OG,Undisclosed,Questionable,Subscribers Only
Frank Herron,FA,DE,Undisclosed,Questionable,Subscribers Only
Justin Herron,LV,OT,Knee,IR,Subscribers Only
Akiem Hicks,TB,DT,Foot,Questionable,Subscribers Only
Kylin Hill,GB,RB,Knee - ACL,PUP-R,Subscribers Only
Troy Hill,LAR,CB,Groin,IR-R,Subscribers Only
Nate Hobbs,LV,CB,Hand,IR,Subscribers Only
Jared Hocker,FA,OG,Undisclosed,Questionable,Subscribers Only
Darius Hodge,FA,LB,Undisclosed,Questionable,Subscribers Only
Curtis Hodges,WAS,TE,Thigh,IR,Subscribers Only
Elijah Holyfield,CIN,RB,Knee,IR,Subscribers Only
Travis Homer,SEA,RB,Ribs,IR,Subscribers Only
Dustin Hopkins,LAC,K,Hamstring,Questionable,Subscribers Only
Jaycee Horn,CAR,CB,Ribs,Questionable,Subscribers Only
Bug Howard,FA,TE,Undisclosed,Questionable,Subscribers Only
Travin Howard,LAR,LB,Groin,NFI-R,Subscribers Only
Brian Hoyer,NE,QB,Concussion,IR,Subscribers Only
Chuba Hubbard,CAR,RB,Ankle,Questionable,Subscribers Only
Jonathan Hubbard,FA,OT,Undisclosed,Questionable,Subscribers Only
Rodney Hudson,ARI,C,Knee,Questionable,Subscribers Only
Tommy Hudson,FA,TE,Undisclosed,Questionable,Subscribers Only
Albert Huggins,NO,DT,Undisclosed,IR,Subscribers Only
Jalen Hurd,FA,WR,Knee,Questionable,Subscribers Only
Allen Hurns,FA,WR,Wrist,Questionable,Subscribers Only
John Hurst,FA,WR,Ankle,Questionable,Subscribers Only
Maurice Hurst,SF,DT,Biceps,IR,Subscribers Only
Carlos Hyde,FA,RB,Concussion,Questionable,Subscribers Only
Micah Hyde,BUF,S,Neck,IR,Subscribers Only
Ishmael Hyman,FA,WR,Undisclosed,Questionable,Subscribers Only
George Iloka,FA,S,Knee - ACL,Questionable,Subscribers Only
Matt Ioannidis,CAR,DT,Concussion,Questionable,Subscribers Only
Isaiah Irving,FA,LB,Back,Questionable,Subscribers Only
Daniel Isom,FA,S,Undisclosed,Questionable,Subscribers Only
Thomas Ives,FA,WR,Undisclosed,Questionable,Subscribers Only
Adoree' Jackson,NYG,CB,Head,Questionable,Subscribers Only
Austin Jackson,MIA,OT,Ankle,IR-R,Subscribers Only
Branden Jackson,FA,DE,Spine,Questionable,Subscribers Only
Chris Jackson,TEN,CB,Undisclosed,IR,Subscribers Only
D'Marco Jackson,NO,LB,Undisclosed,IR,Subscribers Only
Gabe Jackson,SEA,OG,Knee,Questionable,Subscribers Only
J.C. Jackson,LAC,CB,Kneecap,Out,Subscribers Only
Josh Jackson,PIT,CB,Groin,Questionable,Subscribers Only
Tyree Jackson,PHI,TE,Knee - ACL,PUP-R,Subscribers Only
Warren Jackson,FA,WR,Undisclosed,Questionable,Subscribers Only
William Jackson,WAS,CB,Back,Questionable,Subscribers Only
Ja'Wuan James,BAL,OT,Achilles,IR,Subscribers Only
Jesse James,CLE,TE,Biceps,IR,Subscribers Only
Kevin Jarvis,FA,OG,Undisclosed,Questionable,Subscribers Only
Blake Jarwin,FA,TE,Hip,Questionable,Subscribers Only
Tony Jefferson,NYG,S,Foot,IR,Subscribers Only
Van Jefferson,LAR,WR,Knee,IR-R,Subscribers Only
Jalen Jelks,FA,DE,Undisclosed,Questionable,Subscribers Only
Jordan Jenkins,LV,DE,Knee - ACL,IR,Subscribers Only
Gary Jennings,FA,WR,Concussion,Questionable,Subscribers Only
Ryan Jensen,TB,C,Knee,IR,Subscribers Only
Josey Jewell,DEN,LB,Knee,Questionable,Subscribers Only
Josh Jobe,PHI,CB,Shoulder,Questionable,Subscribers Only
Bisi Johnson,MIN,WR,Knee - ACL,IR,Subscribers Only
