player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception,week,year
Kwon Alexander,9557,LB,NYJ,1,1,4.3,50.0,94.6,8.5,4.3,0,0,0,0.0,22,57.6,62.7,72.9,59.2,67.5,64.6,0,16.0,16.7,1,0,0,62.0,4,35,37,2,4,8,0,35,16,1.0,8.8,5,2022
Damien Wilson,9560,LB,CAR,1,0,5.3,66.7,82.4,6.5,4.3,0,0,0,0.0,5,62.2,76.0,75.1,69.3,73.3,70.9,0,9.0,0.0,0,0,0,79.9,2,14,17,1,3,3,0,16,9,1.2,8.0,5,2022
Adrian Amos,9575,S,GB,1,1,-1.5,50.0,94.1,30.0,15.0,0,0,0,0.0,12,67.8,66.8,73.9,57.6,57.6,80.4,0,7.0,0.0,0,0,0,58.3,1,32,34,0,2,2,0,7,7,0.2,7.0,5,2022
Bobby McCain,9578,S,WAS,1,0,31.0,100.0,100.0,15.5,15.5,0,0,0,0.0,32,58.1,59.8,77.9,,62.9,82.0,0,61.0,0.0,0,0,0,118.8,2,33,33,1,3,2,0,66,4,2.1,33.0,5,2022
Quandre Diggs,9633,S,SEA,1,0,9.0,100.0,100.0,27.0,27.0,0,0,0,0.0,29,54.2,59.7,76.7,,69.1,62.8,0,10.0,0.0,0,0,0,108.3,1,29,29,1,2,1,0,10,1,0.4,10.0,5,2022
Rakeem Nunez-Roches,9650,DI,TB,1,0,6.0,100.0,6.3,1.0,1.0,0,0,0,0.0,30,60.0,41.9,0.0,53.6,53.2,69.8,0,9.0,,0,0,1,104.2,1,1,16,0,0,1,0,9,3,9.0,9.0,5,2022
Neville Hewitt,9836,LB,HST,1,0,6.0,66.7,100.0,3.0,2.0,0,0,0,0.0,13,47.8,57.3,70.9,,70.2,77.6,0,20.0,0.0,0,0,0,91.0,2,6,6,1,2,3,0,24,20,4.0,12.0,5,2022
Dean Marlowe,9966,S,ATL,1,0,3.0,100.0,84.6,10.0,10.0,0,0,0,0.0,2,72.9,79.7,71.9,58.5,65.5,78.8,0,3.0,0.0,0,0,0,79.2,1,11,13,1,2,1,0,3,0,0.3,3.0,5,2022
Alex Singleton,9994,LB,DEN,1,1,-2.7,100.0,86.2,7.3,7.3,0,0,0,0.0,10,74.2,73.3,0.0,53.4,76.2,61.0,0,9.0,20.0,1,0,1,79.2,3,25,29,2,3,3,0,5,13,0.2,1.7,5,2022
Bryce Callahan,10000,CB,LAC,1,0,7.0,100.0,100.0,12.5,12.5,0,0,0,0.0,27,64.9,65.9,75.1,,64.6,74.8,0,10.0,0.0,0,0,0,100.0,2,27,27,1,2,2,0,16,2,0.6,8.0,5,2022
Jalen Ramsey,10639,CB,LA,1,0,0.5,100.0,94.7,9.0,9.0,0,0,0,0.0,26,61.3,66.1,76.6,73.2,64.5,76.6,0,9.0,0.0,0,0,0,95.8,2,18,19,1,1,2,0,14,13,0.8,7.0,5,2022
Leonard Floyd,10643,ED,LA,1,0,,,16.7,,,0,0,0,,26,62.7,68.7,78.5,67.5,62.6,74.2,0,,0.0,0,0,0,0.0,0,3,18,0,1,0,0,0,0,0.0,,5,2022
Eli Apple,10644,CB,CIN,1,0,18.2,60.0,100.0,11.7,7.0,0,0,0,0.0,7,32.1,34.0,76.4,,50.3,42.3,0,10.0,0.0,0,0,0,73.8,3,37,37,1,3,5,0,26,1,0.7,8.7,5,2022
Sheldon Rankins,10646,DI,NYJ,1,0,,,4.0,,,0,0,0,,22,60.0,63.6,77.1,74.1,49.8,25.3,0,,100.0,1,0,0,0.0,0,1,25,0,0,0,0,0,0,0.0,,5,2022
Keanu Neal,10651,S,TB,1,0,10.0,100.0,91.7,19.0,19.0,0,0,0,0.0,30,50.4,30.3,0.0,56.3,37.5,27.8,0,11.0,33.3,1,0,1,112.5,1,22,24,0,2,1,0,11,1,0.6,11.0,5,2022
Shaq Lawson,10653,ED,BUF,1,0,,,4.2,,,0,0,0,,4,60.0,66.8,79.1,62.7,64.9,69.2,0,,,0,0,0,0.0,0,1,24,0,0,0,0,0,0,0.0,,5,2022
William Jackson III,10658,CB,WAS,1,0,6.5,100.0,100.0,4.5,4.5,0,0,0,0.0,32,40.7,35.9,71.5,,46.8,23.1,0,11.0,,0,0,0,108.3,2,10,10,0,0,2,0,20,7,2.2,10.0,5,2022
Artie Burns,10659,CB,SEA,1,0,16.0,0.0,100.0,,5.0,0,0,0,0.0,29,64.4,69.5,73.8,,67.9,,0,,,0,0,0,39.6,0,5,5,0,0,1,0,0,0,0.0,,5,2022
Jaylon Smith,10668,LB,NYG,1,0,4.0,100.0,88.5,7.3,7.3,0,0,0,0.0,21,69.3,73.3,76.7,55.1,70.1,79.4,0,14.0,0.0,0,0,0,97.2,3,23,26,1,2,3,0,22,10,1.0,7.3,5,2022
Myles Jack,10670,LB,PIT,1,0,,,89.5,,,0,0,0,,25,76.2,73.2,0.0,68.2,66.6,78.1,0,,0.0,0,0,1,0.0,0,34,38,1,1,0,0,0,0,0.0,,5,2022
Jihad Ward,10678,ED,NYG,1,0,,,2.9,,,0,0,0,,21,63.6,43.3,77.7,48.6,40.2,67.3,0,,0.0,0,0,0,0.0,0,1,35,1,1,0,0,0,0,0.0,,5,2022
Vonn Bell,10695,S,CIN,1,1,19.6,60.0,94.6,11.0,6.6,0,0,0,0.0,7,43.2,42.2,77.1,58.1,58.3,83.4,1,19.0,0.0,0,0,0,77.9,3,35,37,1,2,5,1,31,10,0.9,10.3,5,2022
James Bradberry,10696,CB,PHI,1,0,12.2,33.3,100.0,22.5,7.5,0,0,1,16.7,24,76.9,76.7,77.6,,65.6,75.1,0,9.0,0.0,0,1,0,42.4,2,45,45,0,2,6,0,15,4,0.3,7.5,5,2022
Kevin Byard,10698,S,TEN,1,2,2.5,100.0,97.9,21.0,21.0,0,0,0,0.0,31,62.5,64.6,75.0,59.1,65.6,67.3,0,3.0,12.5,1,0,0,79.2,2,46,47,1,5,2,0,5,0,0.1,2.5,5,2022
Kendall Fuller,10718,CB,WAS,1,0,4.0,100.0,100.0,15.5,15.5,0,0,0,0.0,32,69.4,70.3,78.9,,67.8,75.4,0,7.0,0.0,0,0,0,87.5,2,33,33,1,1,2,0,10,2,0.3,5.0,5,2022
Joe Schobert,10733,LB,TEN,1,0,5.0,100.0,100.0,6.0,6.0,0,0,0,0.0,31,46.5,46.6,69.9,,61.3,22.2,0,25.0,100.0,1,0,0,118.8,1,8,8,0,0,1,0,25,20,4.2,25.0,5,2022
Miles Killebrew,10745,LB,PIT,1,0,,,100.0,,,0,0,0,,25,61.0,62.6,66.2,,60.0,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,,5,2022
De'Vondre Campbell,10749,LB,GB,1,0,-0.2,80.0,94.1,7.8,6.2,0,0,0,0.0,12,80.2,80.9,76.9,56.8,67.9,58.2,0,16.0,0.0,0,0,0,79.2,4,32,34,3,5,5,0,11,5,0.4,2.8,5,2022
Juston Burris,10752,S,CAR,1,0,14.0,66.7,100.0,16.0,10.7,0,1,1,33.3,5,67.3,54.8,75.9,,35.8,47.1,0,20.0,0.0,0,1,0,130.6,2,36,36,0,4,3,1,24,3,0.8,12.0,5,2022
Deon Bush,10758,S,KC,1,0,,,87.5,,,0,0,0,,16,62.7,64.5,71.6,58.8,60.9,71.6,0,,,0,0,0,0.0,0,7,8,0,0,0,0,0,0,0.0,,5,2022
Blake Martinez,10765,LB,LV,1,0,11.0,100.0,100.0,5.0,5.0,0,0,0,0.0,23,49.5,46.8,71.1,,60.0,74.9,0,14.0,0.0,0,0,0,118.8,1,6,6,0,1,1,0,14,3,2.8,14.0,5,2022
Matthew Judon,10780,ED,NE,1,0,,,12.0,,,0,0,0,,19,62.9,83.6,76.3,83.8,60.0,73.6,0,,,0,0,0,0.0,0,3,25,2,0,0,0,0,0,0.0,,5,2022
Anthony Brown,10823,CB,DAL,1,0,8.9,44.4,100.0,12.0,5.3,0,0,0,0.0,9,61.8,62.5,77.4,,62.8,37.5,0,10.0,25.0,1,0,0,51.6,4,49,49,1,3,9,0,21,10,0.4,5.3,5,2022
Kamu Grugier-Hill,10842,LB,HST,1,0,8.1,70.0,100.0,5.9,4.1,0,0,1,10.0,13,29.7,27.1,74.4,,27.8,47.8,0,37.0,0.0,0,1,0,104.6,7,42,42,0,1,10,0,106,51,2.6,15.1,5,2022
Elandon Roberts,10848,LB,MIA,1,0,-1.0,100.0,93.3,13.0,13.0,0,0,0,0.0,17,68.6,56.4,73.7,59.9,50.0,63.4,0,6.0,0.0,0,0,0,91.7,1,14,15,0,1,1,0,6,7,0.5,6.0,5,2022
Will Parks,10853,S,NYJ,1,0,9.0,0.0,100.0,,11.0,0,0,1,100.0,22,69.4,72.3,70.5,,69.1,75.8,0,,,0,1,0,39.6,0,12,12,0,0,1,0,0,0,0.0,,5,2022
Jalen Mills,10867,CB,NE,1,0,8.5,75.0,100.0,9.0,6.8,0,0,0,0.0,19,66.9,67.1,77.3,,62.7,76.9,0,31.0,0.0,0,0,0,103.1,3,29,29,1,3,4,0,37,6,1.4,12.3,5,2022
Jayron Kearse,10878,S,DAL,1,0,6.0,80.0,95.0,9.3,7.4,0,0,0,0.0,9,68.6,71.6,73.9,57.5,68.7,79.1,0,16.0,0.0,0,0,0,96.7,4,38,40,1,3,5,0,36,10,1.0,9.0,5,2022
Mike Hilton,10898,CB,CIN,1,0,3.3,66.7,72.7,7.5,5.0,0,0,0,0.0,7,70.4,73.1,74.4,49.7,82.1,80.7,0,7.0,0.0,0,0,0,77.1,2,16,22,0,2,3,0,14,9,0.9,7.0,5,2022
Matthias Farley,10953,S,LV,1,0,0.0,100.0,100.0,2.0,2.0,0,0,0,0.0,23,63.8,65.0,64.3,,,72.5,0,7.0,0.0,0,0,0,95.8,1,2,2,0,1,1,0,7,7,3.5,7.0,5,2022
Cory Littleton,11190,LB,CAR,1,0,1.3,100.0,83.3,8.7,8.7,1,0,0,0.0,5,30.5,38.6,77.9,48.4,62.5,29.4,0,24.0,66.7,2,0,1,118.8,3,30,36,0,1,3,0,54,50,2.1,18.0,5,2022
Jonathan Jones,11217,CB,NE,1,0,9.0,0.0,100.0,,19.0,0,0,0,0.0,19,76.7,76.9,75.0,,67.0,78.9,0,,0.0,0,0,0,39.6,0,21,21,2,3,1,0,0,0,0.0,,5,2022
Andrew Adams,11240,S,TEN,1,0,6.0,100.0,100.0,9.5,9.5,0,0,0,0.0,31,69.0,69.6,71.4,,60.0,75.0,0,10.0,0.0,0,0,0,97.9,2,22,22,0,2,2,0,15,3,0.8,7.5,5,2022
Antonio Hamilton,11353,CB,ARZ,1,0,-2.0,100.0,92.3,12.0,12.0,0,0,0,0.0,1,55.4,55.4,74.2,57.7,60.0,23.1,0,6.0,100.0,1,0,0,91.7,1,12,13,0,0,1,0,6,8,0.5,6.0,5,2022
Solomon Thomas,11758,DI,NYJ,1,0,,,10.0,,,0,0,0,,22,60.0,27.5,75.0,54.5,26.8,66.8,0,,0.0,0,0,0,0.0,0,1,10,0,1,0,0,0,0,0.0,,5,2022
Marshon Lattimore,11766,CB,NO,1,0,11.0,0.0,100.0,,28.0,0,0,1,100.0,20,58.3,59.7,77.8,,63.5,,0,,,0,1,1,39.6,0,31,31,0,0,1,0,0,0,0.0,,5,2022
Haason Reddick,11768,ED,PHI,1,0,14.0,100.0,14.7,5.0,5.0,0,0,0,0.0,24,29.4,59.8,78.5,79.7,49.2,25.3,0,28.0,100.0,1,0,0,118.8,1,5,34,1,0,1,0,28,14,5.6,28.0,5,2022
Malik Hooker,11770,S,DAL,1,1,,,100.0,,,0,0,0,,9,74.9,78.7,75.9,,60.6,75.7,1,,0.0,0,0,0,0.0,0,37,37,1,1,0,0,0,0,0.0,,5,2022
Marlon Humphrey,11771,CB,BLT,1,0,4.8,100.0,100.0,9.5,9.5,0,0,0,0.0,3,71.2,71.3,78.6,,63.9,76.9,0,13.0,0.0,0,0,0,97.9,4,42,42,1,3,4,0,30,11,0.8,7.5,5,2022
Adoree' Jackson,11773,CB,NYG,1,0,10.0,66.7,100.0,12.0,8.0,0,0,0,0.0,21,45.6,55.9,76.5,,86.6,79.6,0,22.0,0.0,0,0,0,95.1,2,25,25,0,2,3,0,27,5,1.1,13.5,5,2022
Jabrill Peppers,11780,S,NE,1,1,5.0,100.0,93.8,14.0,14.0,0,0,0,0.0,19,65.2,66.6,72.8,60.0,61.8,77.0,0,8.0,0.0,0,0,0,100.0,1,15,16,0,1,1,0,8,3,0.6,8.0,5,2022
Budda Baker,11791,S,ARZ,1,1,0.0,100.0,82.9,33.0,33.0,0,0,0,0.0,1,57.3,65.5,77.8,59.9,77.2,57.9,0,11.0,25.0,1,0,0,112.5,1,34,41,0,2,1,0,11,11,0.3,11.0,5,2022
Marcus Williams,11797,S,BLT,1,0,,,94.7,,,0,0,0,,3,64.4,67.6,78.0,59.1,62.5,80.6,0,,0.0,0,0,0,0.0,0,18,19,0,1,0,0,0,0,0.0,,5,2022
Justin Evans,11805,S,NO,1,1,7.0,100.0,100.0,30.0,30.0,0,0,0,0.0,20,65.5,63.9,77.5,,54.2,79.3,0,7.0,0.0,0,0,0,95.8,1,34,34,0,0,1,0,7,0,0.2,7.0,5,2022
Raekwon McMillan,11809,LB,NE,1,1,30.0,0.0,81.3,,13.0,0,0,0,0.0,19,55.3,61.9,73.1,53.9,74.2,78.4,0,,0.0,0,0,0,39.6,0,13,16,0,0,1,0,0,0,0.0,,5,2022
Chidobe Awuzie,11815,CB,CIN,1,1,7.0,100.0,100.0,35.0,35.0,0,0,0,0.0,7,68.2,59.9,78.3,,30.0,79.5,0,8.0,0.0,0,0,1,100.0,1,37,37,1,3,1,0,8,1,0.2,8.0,5,2022
Josh Jones,11816,S,SEA,1,0,,,91.7,,,0,0,0,,29,63.4,65.0,69.9,58.3,60.0,72.6,0,,,0,0,0,0.0,0,11,12,0,0,0,0,0,0,0.0,,5,2022
Duke Riley,11830,LB,MIA,1,0,,,100.0,,,0,0,0,,17,64.5,47.5,70.7,,54.7,71.7,0,,0.0,0,0,0,0.0,0,7,7,0,1,0,0,0,0,0.0,,5,2022
Alex Anzalone,11831,LB,DET,1,1,6.0,0.0,80.8,,19.0,0,0,1,100.0,11,88.9,80.9,77.2,64.2,59.2,81.4,0,,0.0,0,1,0,39.6,0,21,26,0,0,1,0,0,0,0.0,,5,2022
Fabian Moreau,11836,CB,NYG,1,1,33.0,0.0,100.0,,17.0,0,0,1,50.0,21,70.3,67.6,77.7,,51.4,27.1,0,,50.0,1,1,0,39.6,0,36,36,0,0,2,0,0,0,0.0,,5,2022
Shaquill Griffin,11845,CB,JAX,1,0,9.0,100.0,100.0,7.7,7.7,0,0,0,0.0,15,63.2,58.0,77.6,,44.0,57.1,0,16.0,0.0,0,0,0,109.7,3,24,24,1,4,3,0,31,4,1.3,10.3,5,2022
Jourdan Lewis,11846,CB,DAL,1,0,11.0,75.0,95.9,15.3,11.5,0,0,0,0.0,9,59.9,59.0,77.4,71.8,45.9,43.8,0,8.0,0.0,0,0,0,84.4,3,47,49,2,3,4,0,19,16,0.4,6.3,5,2022
John Johnson III,11847,S,CLV,1,0,3.5,75.0,100.0,12.7,9.5,0,0,0,0.0,8,46.8,42.1,0.0,,60.7,66.7,0,11.0,0.0,0,0,1,93.8,3,40,40,1,4,4,0,28,22,0.7,9.3,5,2022
Cameron Sutton,11850,CB,PIT,1,0,19.0,50.0,100.0,22.0,11.0,0,0,0,0.0,25,62.2,66.6,74.9,,75.6,78.1,0,15.0,0.0,0,0,0,114.6,1,22,22,0,2,2,1,15,0,0.7,15.0,5,2022
Rasul Douglas,11854,CB,GB,1,0,2.0,100.0,100.0,10.5,10.5,0,0,0,0.0,12,37.1,33.2,0.0,,61.2,27.0,0,6.0,50.0,1,0,3,81.3,2,22,22,1,1,2,0,7,3,0.3,3.5,5,2022
Trey Hendrickson,11858,ED,CIN,1,0,8.0,100.0,4.0,1.0,1.0,0,0,0,0.0,7,53.7,44.6,77.6,64.1,41.1,72.0,0,20.0,0.0,0,0,0,118.8,1,1,25,1,1,1,0,20,12,20.0,20.0,5,2022
Eddie Jackson,11867,S,CHI,1,0,-3.0,100.0,97.9,43.0,43.0,0,0,0,0.0,6,61.5,62.6,78.2,58.5,62.5,48.0,0,1.0,16.7,1,0,0,118.8,1,47,48,0,5,1,1,1,4,0.0,1.0,5,2022
Rayshawn Jenkins,11868,S,JAX,1,1,,,96.2,,,0,0,0,,15,67.4,76.8,74.4,58.5,76.4,61.0,0,,0.0,0,0,0,0.0,0,25,26,0,2,0,0,0,0,0.0,,5,2022
Jalen Reeves-Maybin,11879,LB,HST,1,0,0.0,100.0,88.9,4.0,4.0,0,0,0,0.0,13,77.4,68.0,70.1,60.0,51.1,29.0,0,3.0,0.0,0,0,0,79.2,2,8,9,1,1,2,0,6,6,0.8,3.0,5,2022
Samson Ebukam,11880,ED,SF,1,0,,,2.7,,,0,0,0,,28,60.0,58.0,81.4,64.1,46.5,24.5,0,,,0,0,0,0.0,0,1,37,0,0,0,0,0,0,0.0,,5,2022
Deatrich Wise Jr.,11886,ED,NE,1,0,,,5.9,,,0,0,0,,19,62.5,64.1,78.1,59.1,63.6,72.2,0,,100.0,1,0,1,0.0,0,2,34,0,0,0,0,0,0,0.0,,5,2022
Desmond King II,11906,CB,HST,1,1,13.5,50.0,100.0,12.3,6.2,0,0,2,33.3,13,84.7,84.9,76.2,,70.8,83.7,1,6.0,0.0,0,2,1,16.7,3,38,38,1,3,6,0,13,6,0.4,4.3,5,2022
Matt Milano,11918,LB,BUF,1,1,4.3,33.3,100.0,35.0,11.7,0,0,1,33.3,4,86.6,85.6,75.1,,61.6,78.3,0,5.0,0.0,0,1,0,42.4,1,38,38,0,1,3,0,5,3,0.1,5.0,5,2022
Chuck Clark,11941,S,BLT,1,0,2.0,0.0,100.0,,38.0,0,0,1,100.0,3,50.4,55.7,74.3,,72.7,84.8,0,,0.0,0,0,0,39.6,0,42,42,1,2,1,0,0,0,0.0,,5,2022
Tanner Vallejo,11950,LB,ARZ,1,0,3.0,0.0,100.0,,3.0,0,0,0,0.0,1,62.0,48.7,70.9,,48.9,74.9,0,,,0,0,0,39.6,0,3,3,0,0,1,0,0,0,0.0,,5,2022
Al-Quadin Muhammad,11951,ED,CHI,1,0,,,3.8,,,0,0,0,,6,60.0,68.5,80.5,53.4,76.3,71.7,0,,,0,0,0,0.0,0,1,26,0,0,0,0,0,0,0.0,,5,2022
Ifeadi Odenigbo,11975,ED,IND,1,0,,,7.1,,,0,0,0,,14,60.0,37.8,77.6,56.9,34.3,,0,,,0,0,0,0.0,0,1,14,0,0,0,0,0,0,0.0,,5,2022
Isaac Rochell,11980,ED,CLV,1,0,,,16.7,,,0,0,0,,8,71.9,85.4,76.9,67.0,70.3,71.9,0,,,0,0,0,0.0,0,2,12,0,0,0,0,0,0,0.0,,5,2022
Arthur Maulet,12224,CB,PIT,1,0,3.0,100.0,75.8,12.5,12.5,0,0,0,0.0,25,52.3,59.8,76.7,62.0,79.6,42.2,0,41.0,33.3,1,0,0,118.8,2,25,33,1,2,2,0,44,38,1.8,22.0,5,2022
Sione Takitaki,12666,LB,CLV,1,0,1.0,100.0,81.8,17.0,17.0,0,0,0,0.0,8,60.0,58.0,73.4,52.8,59.1,32.4,0,22.0,0.0,0,0,0,118.8,1,18,22,1,1,1,0,22,21,1.3,22.0,5,2022
Kemoko Turay,21702,ED,SF,1,0,,,5.9,,,0,0,0,,28,60.0,41.5,77.3,53.0,51.0,,0,,,0,0,0,0.0,0,1,17,0,0,0,0,0,0,0.0,,5,2022
Dylan Cole,24304,LB,TEN,1,0,17.0,100.0,90.5,9.5,9.5,0,0,0,0.0,31,30.2,38.4,73.8,55.8,69.1,28.9,0,34.0,100.0,1,0,0,118.8,2,19,21,0,0,2,0,43,9,2.3,21.5,5,2022
Foyesade Oluokun,24904,LB,JAX,1,0,2.7,33.3,84.6,21.0,7.0,0,0,0,0.0,15,68.5,62.0,74.7,90.1,44.1,45.1,0,6.0,0.0,0,0,0,42.4,1,22,26,3,3,3,0,6,2,0.3,6.0,5,2022
Levi Wallace,25445,CB,PIT,1,0,19.4,57.1,100.0,6.8,3.9,0,0,1,14.3,25,69.2,63.8,75.8,,41.5,52.6,1,98.0,33.3,1,1,0,101.8,4,27,27,1,2,7,1,109,61,4.0,27.3,5,2022
Anfernee Jennings,25449,ED,NE,1,0,5.0,100.0,18.2,2.0,2.0,0,0,0,0.0,19,46.1,55.2,75.5,50.1,71.2,75.4,0,10.0,,0,0,0,108.3,1,2,11,0,0,1,0,10,5,5.0,10.0,5,2022
Sean Murphy-Bunting,25891,CB,TB,1,0,13.0,100.0,100.0,5.0,5.0,0,0,0,0.0,30,43.0,48.1,74.0,,65.3,75.3,0,15.0,0.0,0,0,0,118.8,2,10,10,0,1,2,0,26,0,2.6,13.0,5,2022
Clelin Ferrell,25955,ED,LV,1,0,,,15.8,,,1,0,0,,23,57.8,56.2,0.0,66.0,62.1,,0,,,0,0,1,0.0,0,3,19,0,0,0,0,0,0,0.0,,5,2022
D.J. Reed Jr.,26940,CB,NYJ,1,0,10.6,60.0,100.0,12.3,7.4,0,0,0,0.0,22,54.4,55.9,78.1,,60.9,80.2,0,10.0,0.0,0,0,1,64.6,3,41,41,0,3,5,0,15,5,0.4,5.0,5,2022
Isaiah Rodgers,27069,CB,IND,1,0,3.5,100.0,100.0,10.0,10.0,0,0,0,0.0,14,76.7,79.0,74.2,,71.7,79.3,0,10.0,0.0,0,0,0,91.7,2,20,20,2,3,2,0,12,5,0.6,6.0,5,2022
Siran Neal,27130,CB,BUF,1,1,8.7,14.3,90.5,19.0,2.7,0,0,4,57.1,4,92.3,92.7,75.5,71.4,63.3,28.9,0,5.0,50.0,1,3,0,39.6,1,19,21,0,0,7,0,5,2,0.3,5.0,5,2022
Devin Bush,27375,LB,PIT,1,1,11.4,80.0,92.0,5.5,4.4,0,0,0,0.0,25,44.3,39.9,75.0,53.6,52.2,77.9,0,31.0,0.0,0,0,0,113.3,4,23,25,0,2,5,0,56,16,2.5,14.0,5,2022
Josh Uche,27379,ED,NE,1,0,8.0,100.0,23.8,5.0,5.0,0,0,0,0.0,19,34.1,55.6,74.9,66.9,60.0,69.9,0,25.0,0.0,0,0,0,118.8,1,5,21,0,1,1,0,25,17,5.0,25.0,5,2022
Malik Harrison,28081,LB,BLT,1,0,-3.5,100.0,84.6,5.5,5.5,0,0,0,0.0,3,88.0,89.3,72.9,56.6,66.8,76.7,0,4.0,0.0,0,0,0,79.2,2,11,13,2,3,2,0,4,11,0.4,2.0,5,2022
Jerome Baker,28091,LB,MIA,1,0,19.5,50.0,84.6,21.0,10.5,0,0,1,50.0,17,66.0,66.8,80.2,73.7,58.3,29.3,0,21.0,,0,1,0,87.5,1,22,26,1,0,2,0,21,22,1.0,21.0,5,2022
DeShon Elliott,28854,S,DET,1,0,6.0,100.0,91.3,17.0,17.0,0,0,0,0.0,11,60.9,56.2,74.7,67.4,49.7,66.6,1,6.0,0.0,0,0,0,52.1,1,21,23,0,4,1,0,6,0,0.4,6.0,5,2022
Jack Jones,29050,CB,NE,1,0,15.3,57.1,100.0,7.0,4.0,0,0,1,14.3,19,81.5,80.9,76.9,,65.7,52.3,1,20.0,33.3,1,1,0,45.8,4,28,28,0,2,7,0,60,17,2.1,15.0,5,2022
Darius Harris,29188,LB,KC,1,0,1.3,100.0,72.7,5.0,5.0,0,0,0,0.0,16,75.7,81.2,72.8,80.1,65.9,62.0,0,9.0,0.0,0,0,0,94.4,3,16,22,5,5,3,0,20,16,1.3,6.7,5,2022
David Long,29367,LB,TEN,1,1,6.3,100.0,93.6,6.7,6.7,0,0,0,0.0,31,66.2,69.5,74.9,54.9,70.0,68.3,1,32.0,12.5,1,0,0,79.2,6,44,47,0,6,6,0,87,49,2.2,14.5,5,2022
Germaine Pratt,29407,LB,CIN,1,2,2.0,100.0,80.8,10.5,10.5,0,0,0,0.0,7,59.6,54.1,76.3,90.0,39.3,62.6,0,9.0,0.0,0,0,0,102.1,2,21,26,1,0,2,0,17,13,0.8,8.5,5,2022
Logan Wilson,29623,LB,CIN,1,0,-1.3,100.0,81.1,9.7,9.7,0,0,0,0.0,7,82.4,68.5,77.5,49.5,50.5,81.1,0,7.0,0.0,0,0,0,90.3,3,30,37,2,4,3,0,17,21,0.6,5.7,5,2022
Andrew Van Ginkel,30267,ED,MIA,1,0,0.0,100.0,66.7,4.0,4.0,0,0,0,0.0,17,44.2,55.6,74.2,58.9,66.6,70.5,0,6.0,,0,0,0,91.7,1,4,6,0,0,1,0,6,6,1.5,6.0,5,2022
T.J. Edwards,30737,LB,PHI,1,0,5.1,62.5,95.2,8.0,5.0,0,0,1,12.5,24,29.6,29.0,74.4,56.9,43.8,27.6,0,17.0,40.0,2,0,0,72.9,5,40,42,1,3,8,0,36,35,0.9,7.2,5,2022
Dane Jackson,32989,CB,BUF,1,1,13.2,80.0,100.0,9.5,7.6,0,1,0,0.0,4,60.3,56.4,76.7,,43.2,53.7,0,23.0,0.0,0,0,0,108.3,4,41,41,0,5,5,0,50,6,1.3,12.5,5,2022
Robert Rochell,33693,CB,LA,1,0,,,100.0,,,0,0,0,,26,60.0,66.1,99.9,,61.9,72.5,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,,5,2022
Nasir Adderley,33880,S,LAC,1,0,,,100.0,,,0,0,0,,27,60.6,61.4,72.3,,60.0,,0,,,0,0,0,0.0,0,4,4,0,0,0,0,0,0,0.0,,5,2022
Mike Hughes,34057,CB,DET,1,1,10.3,66.7,100.0,6.5,4.3,0,0,1,33.3,11,90.0,87.3,75.9,,60.5,78.9,0,5.0,0.0,0,0,0,70.1,2,17,17,1,3,3,0,6,1,0.5,3.0,5,2022
Darnell Savage,34247,S,GB,1,0,14.7,66.7,100.0,16.0,10.7,0,0,0,0.0,12,30.6,30.7,76.2,,67.5,41.4,0,15.0,33.3,1,0,1,96.5,2,34,34,0,2,3,0,28,2,0.9,14.0,5,2022
Johnathan Abram,34646,S,LV,1,0,6.3,66.7,86.8,16.0,10.7,0,0,0,0.0,23,55.4,49.0,74.6,63.3,33.9,37.6,0,10.0,0.0,0,0,0,112.5,2,33,38,0,3,3,1,11,6,0.3,5.5,5,2022
Akeem Davis-Gaither,34788,LB,CIN,1,0,,,66.7,,,0,0,0,,7,63.5,28.2,71.5,55.0,25.6,,0,,,0,0,0,0.0,0,6,9,0,0,0,0,0,0,0.0,,5,2022
Jamel Dean,34918,CB,TB,1,0,4.7,33.3,97.3,33.0,11.0,0,0,0,0.0,30,63.6,65.5,78.8,60.0,70.6,76.9,0,0.0,0.0,0,0,0,42.4,1,36,37,1,1,3,0,0,3,0.0,0.0,5,2022
Trevis Gipson,35241,ED,CHI,1,0,-5.0,100.0,3.6,1.0,1.0,0,0,0,0.0,6,60.0,45.4,80.7,68.8,43.3,71.4,0,23.0,,0,0,0,118.8,1,1,28,0,0,1,0,23,28,23.0,23.0,5,2022
Tae Crowder,35774,LB,NYG,1,0,-5.0,100.0,90.6,13.5,13.5,0,0,0,0.0,21,61.5,56.9,74.7,54.3,54.0,78.4,0,14.0,0.0,0,0,0,89.6,2,29,32,1,2,2,0,11,21,0.4,5.5,5,2022
