player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,week,year
Craig Reynolds,94383,HB,DET,1,4.0,0,100.0,,0,0,0,0.0,0,1,11,0,64.7,68.2,66.1,,78.4,0.0,0,0,13,0.0,0,3,0,1,100.0,3,0.0,0,118.8,1,0,0.0,0,13,9,9.0,13.0,4.33,2,2022
Cedrick Wilson,48170,WR,MIA,1,7.0,0,0.0,,0,0,0,,0,0,17,0,,,49.7,,50.5,0.0,0,0,0,0.0,0,21,0,0,95.2,20,57.1,12,39.6,1,0,42.9,9,0,0,,,0.0,2,2022
D'Wayne Eskridge,29573,WR,SEA,1,-2.0,0,100.0,,0,0,0,0.0,0,0,29,0,64.7,61.2,57.0,,57.4,0.0,0,0,6,0.0,0,5,0,1,100.0,5,60.0,3,91.7,1,0,40.0,2,6,8,8.0,6.0,1.2,2,2022
Sony Michel,27589,HB,LAC,1,3.0,0,100.0,,0,0,0,0.0,0,0,27,0,64.7,69.4,65.8,78.6,63.0,0.0,0,0,6,50.0,2,4,0,1,50.0,2,0.0,0,91.7,1,0,0.0,0,6,3,3.0,6.0,3.0,2,2022
Parker Hesse,48369,TE,ATL,1,4.0,0,100.0,,0,0,0,0.0,0,1,2,0,64.7,61.2,66.5,74.9,61.6,55.6,10,0,5,22.2,4,18,1,1,72.2,13,27.8,5,87.5,1,0,16.7,3,5,1,1.0,5.0,0.38,2,2022
Dan Arnold,51842,TE,JAX,1,-1.0,0,100.0,,0,0,0,0.0,0,0,15,0,64.7,61.2,45.0,,55.3,60.0,3,0,8,0.0,0,5,0,1,100.0,5,40.0,2,100.0,1,0,0.0,0,8,9,9.0,8.0,1.6,2,2022
Ross Dwelley,20994,TE,SF,1,16.0,0,100.0,,0,0,0,0.0,0,1,28,0,64.7,61.2,55.5,,58.9,37.5,6,0,38,0.0,0,16,0,1,81.3,13,43.8,7,158.3,1,1,18.8,3,38,22,22.0,38.0,2.92,2,2022
Joe Fortson,94384,TE,KC,1,5.0,0,0.0,0.0,0,1,0,,0,0,16,0,,,36.1,0.0,56.5,25.0,1,0,0,25.0,1,4,0,0,75.0,3,50.0,2,39.6,1,0,25.0,1,0,0,,,0.0,2,2022
Rachaad White,131633,HB,TB,1,3.0,0,0.0,,0,0,0,100.0,1,0,30,0,27.9,65.2,38.3,,29.0,0.0,0,0,0,0.0,0,6,0,0,100.0,6,16.7,1,39.6,1,0,0.0,0,0,0,,,0.0,2,2022
Giovanni Ricci,13756,TE,CAR,1,7.0,0,100.0,,0,0,0,0.0,0,1,5,0,64.7,61.2,58.9,72.5,72.5,75.0,6,0,16,25.0,2,8,0,1,62.5,5,12.5,1,118.8,1,0,12.5,1,16,9,9.0,16.0,3.2,2,2022
Joshua Kelley,13750,HB,LAC,1,0.0,0,100.0,,0,0,0,0.0,0,0,27,0,64.7,69.4,68.8,59.7,57.0,0.0,0,0,3,21.4,3,14,0,1,71.4,10,7.1,1,79.2,1,0,7.1,1,3,3,3.0,3.0,0.3,2,2022
