player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week,year
Mitchell Trubisky,11757,QB,PIT,1,1,0,0,0.0,0,0,-1,0,0,0,0.0,0.0,0,1,25,0,0,79.7,62.0,78.8,60.4,,,64.2,60.0,6,0,0,0,0,20,10,2,0,1,0,9,3,1.0,3.0,,0,1,2022
J.D. McKissic,11047,HB,WAS,1,3,1,0,0.0,0,0,8,0,0,1,4.0,22.2,0,1,32,0,0,70.3,61.7,77.7,,78.5,64.9,57.3,59.1,5,0,20,3,17,9,0,0,3,6,0,8,4,1.33,2.7,1.18,3,1,2022
Cam Akers,57206,HB,LA,1,3,1,0,,0,0,0,0,0,1,8.0,88.9,0,0,26,0,1,65.2,50.5,70.5,,,52.2,52.4,,0,0,0,0,10,2,0,0,0,3,0,0,8,2.67,0.0,0.0,1,1,2022
Jaylen Warren,98692,HB,PIT,1,3,0,0,0.0,0,0,7,0,0,0,8.0,0.0,0,0,25,0,1,67.2,48.9,72.6,,22.9,53.0,52.9,60.0,3,0,0,0,10,7,0,0,1,3,0,7,8,2.67,2.3,0.0,2,1,2022
Julio Jones,6158,WR,TB,1,2,1,0,0.0,0,0,17,0,0,1,6.0,60.0,1,2,30,0,0,68.7,77.2,75.7,,,76.2,58.4,77.3,12,0,69,3,22,10,0,0,5,5,0,17,6,3.0,8.5,3.14,0,1,2022
Ryan Tannehill,7014,QB,TEN,1,1,0,0,0.0,0,0,-2,0,0,0,0.0,0.0,0,1,31,0,0,79.1,81.1,0.0,80.2,,,65.4,60.3,9,1,0,0,0,26,9,1,0,1,0,7,0,0.0,3.5,,0,1,2022
Trevor Lawrence,77632,QB,JAX,1,1,0,0,0.0,0,0,-2,0,0,0,0.0,0.0,0,0,15,0,1,80.6,56.3,79.3,56.8,,,55.9,60.0,6,2,0,0,0,20,6,1,0,1,0,4,2,1.0,2.0,,0,1,2022
Dak Prescott,10769,QB,DAL,1,2,0,0,0.0,0,0,11,0,0,0,0.0,0.0,1,1,9,0,1,78.6,37.4,78.4,36.3,,,63.7,60.2,12,0,0,0,0,19,0,0,0,2,0,11,0,0.0,5.5,,0,1,2022
Kadarius Toney,61245,WR,NYG,1,1,3,1,82.6,19,0,19,0,0,1,10.0,1000.0,1,1,21,0,0,64.5,60.5,76.5,,,57.2,61.5,60.0,19,0,0,0,3,3,4,1,0,1,0,23,22,11.0,11.5,0.0,0,1,2022
Patrick Mahomes,11765,QB,KC,1,0,0,0,0.0,0,0,0,0,0,0,,100.0,0,1,16,1,0,79.6,74.2,78.9,75.1,,,51.5,60.0,4,0,0,0,0,21,5,2,0,0,0,5,0,0.0,2.5,,0,1,2022
