player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,week,year
Andrus Peat,9446,G,NO,1,100.0,0,20,50.5,65.9,43.2,0,1,38,100.0,100.0,96.1,0,2,1,61,0,61,0,61,42,42,0,0,19,0,1,2022
Ryan Ramczyk,11787,T,NO,1,100.0,0,20,77.2,81.0,70.6,0,1,38,100.0,100.0,98.7,0,1,0,61,0,0,0,61,42,42,0,61,19,0,1,2022
Jake Hanson,28148,G,GB,1,100.0,0,12,44.4,14.4,60.8,0,3,42,100.0,100.0,94.0,0,4,1,61,0,0,0,61,43,43,61,0,18,0,1,2022
Evan Neal,99063,T,NYG,1,100.0,0,21,40.1,56.2,29.8,0,2,29,100.0,100.0,96.6,0,2,0,61,0,0,0,61,31,31,0,60,30,0,1,2022
Christian Darrisaw,77373,T,MIN,1,100.0,0,18,62.4,73.6,53.5,1,2,33,100.0,100.0,95.5,0,3,0,61,0,0,61,61,34,34,0,0,27,0,1,2022
Josh Myers,59992,C,GB,1,100.0,0,12,55.7,59.5,52.8,0,1,42,100.0,100.0,98.8,0,1,0,61,61,0,0,61,43,43,0,0,18,0,1,2022
Royce Newman,41746,G,GB,1,100.0,0,12,58.6,45.2,69.1,0,2,42,100.0,100.0,95.2,0,3,1,61,0,0,0,61,43,43,0,61,18,0,1,2022
James Hurst,9001,T,NO,1,100.0,0,20,75.7,89.5,58.6,1,0,38,100.0,100.0,98.7,0,1,0,61,0,0,59,61,42,42,0,0,19,2,1,2022
Erik McCoy,37347,C,NO,1,100.0,0,20,72.1,76.5,69.7,0,1,38,100.0,100.0,98.7,0,1,0,61,61,0,0,61,42,42,0,0,19,0,1,2022
Mark Glowinski,9567,G,NYG,1,100.0,0,21,51.3,70.2,53.2,0,3,29,100.0,100.0,94.8,1,3,0,61,0,0,0,61,31,31,60,0,30,0,1,2022
Yosh Nijman,60822,T,GB,1,100.0,1,12,70.9,87.0,63.6,0,1,42,100.0,100.0,98.8,1,1,0,61,0,0,61,61,43,43,0,0,18,0,1,2022
Cesar Ruiz,59857,G,NO,1,100.0,0,20,46.3,43.9,47.4,0,1,38,100.0,100.0,96.1,0,2,1,61,0,0,0,61,42,42,61,0,19,0,1,2022
Andrew Thomas,59701,T,NYG,1,100.0,0,21,79.9,82.3,75.4,0,1,29,100.0,100.0,98.3,0,1,0,61,0,0,60,61,31,31,0,0,30,0,1,2022
Connor Williams,46216,C,MIA,1,100.0,0,17,82.3,65.4,86.8,0,1,37,100.0,100.0,98.6,0,1,0,60,60,0,0,60,37,37,0,0,23,0,1,2022
Robert Hunt,46139,G,MIA,1,100.0,0,17,71.8,63.1,71.7,0,0,37,100.0,100.0,97.3,0,1,1,60,0,0,0,60,37,37,59,1,23,0,1,2022
Jon Feliciano,9561,C,NYG,1,100.0,0,21,49.4,70.1,44.7,0,1,29,100.0,100.0,94.8,0,2,1,60,60,0,0,60,31,31,0,0,29,0,1,2022
Liam Eichenberg,41851,G,MIA,1,100.0,0,17,29.8,20.8,36.1,2,2,37,100.0,100.0,94.6,0,4,0,60,0,58,2,60,37,37,0,0,23,0,1,2022
Mason Cole,45547,C,PIT,1,100.0,0,25,54.9,65.2,49.4,1,0,36,100.0,100.0,98.6,0,1,0,59,59,0,0,59,39,39,0,0,20,0,1,2022
Ryan Bates,28300,G,BUF,1,100.0,0,4,51.5,9.0,70.4,0,3,38,100.0,100.0,93.4,0,4,1,58,0,0,0,58,38,38,58,0,20,0,1,2022
Terron Armstead,7856,T,MIA,1,100.0,0,17,72.2,81.3,62.9,0,1,35,100.0,100.0,98.6,0,1,0,58,0,0,57,58,35,35,0,0,23,1,1,2022
Kolton Miller,47013,T,LV,1,100.0,0,23,59.0,58.7,54.8,1,0,43,100.0,100.0,96.5,0,2,1,58,0,0,58,58,45,45,0,0,13,0,1,2022
Andre James,47058,C,LV,1,100.0,0,23,68.8,79.7,63.6,0,1,43,100.0,100.0,98.8,0,1,0,58,58,0,0,58,45,45,0,0,13,0,1,2022
Mitch Morse,9482,C,BUF,1,100.0,0,4,65.5,64.4,65.0,0,1,38,100.0,100.0,98.7,0,1,0,58,58,0,0,58,38,38,0,0,20,0,1,2022
Spencer Brown,42296,T,BUF,1,100.0,0,4,56.2,59.0,61.3,0,0,38,100.0,100.0,100.0,1,0,0,58,0,0,0,58,38,38,0,57,20,1,1,2022
John Simpson,41715,G,LV,1,100.0,1,23,56.7,50.3,58.5,2,0,43,100.0,100.0,97.7,1,2,0,58,0,58,0,58,45,45,0,0,13,0,1,2022
Cody Whitehair,10690,G,CHI,1,100.0,0,6,57.6,44.3,59.4,0,1,23,100.0,100.0,97.8,0,1,0,58,0,58,0,58,24,24,0,0,34,0,1,2022
Larry Borom,59879,T,CHI,1,100.0,0,6,75.3,72.7,74.3,0,1,23,100.0,100.0,97.8,0,1,0,58,0,0,0,58,24,24,0,58,34,0,1,2022
Dion Dawkins,11818,T,BUF,1,100.0,0,4,72.2,78.3,64.6,0,0,38,100.0,100.0,100.0,0,0,0,58,0,0,58,58,38,38,0,0,20,0,1,2022
Braxton Jones,60092,T,CHI,1,100.0,0,6,58.4,62.7,54.0,0,1,23,100.0,100.0,89.1,0,3,2,58,0,0,58,58,24,24,0,0,34,0,1,2022
Sam Mustipher,13026,C,CHI,1,100.0,0,6,60.1,75.6,57.0,0,1,23,100.0,100.0,97.8,0,1,0,58,58,0,0,58,24,24,0,0,34,0,1,2022
Kelvin Beachum,7229,T,ARZ,1,100.0,0,1,72.1,81.9,71.3,0,1,37,100.0,100.0,98.6,1,1,0,57,0,0,0,57,39,39,0,57,18,0,1,2022
Will Hernandez,46180,G,ARZ,1,100.0,0,1,67.2,73.2,61.8,0,2,37,100.0,100.0,97.3,0,2,0,57,0,0,0,57,39,39,57,0,18,0,1,2022
Rodney Hudson,6207,C,ARZ,1,100.0,0,1,50.6,71.5,41.1,0,2,37,100.0,100.0,97.3,0,2,0,57,57,0,0,57,39,39,0,0,18,0,1,2022
Kevin Zeitler,7032,G,BLT,1,100.0,0,3,71.9,83.8,64.2,0,1,34,100.0,100.0,98.5,0,1,0,56,0,0,0,56,35,35,56,0,21,0,1,2022
Rodger Saffold,5558,G,BUF,1,100.0,0,4,50.0,62.4,53.8,0,1,38,100.0,100.0,98.7,1,1,0,56,0,56,0,56,38,38,0,0,18,0,1,2022
David Andrews,9948,C,NE,1,100.0,1,19,55.9,51.2,64.1,0,1,33,100.0,100.0,98.5,1,1,0,56,56,0,0,56,35,35,0,0,21,0,1,2022
Ben Powers,41482,G,BLT,1,100.0,0,3,43.8,69.2,34.7,1,1,34,100.0,100.0,97.1,0,2,0,56,0,56,0,56,35,35,0,0,21,0,1,2022
Trent Brown,9677,T,NE,1,100.0,1,19,65.7,55.5,70.4,1,0,33,100.0,100.0,92.4,1,3,2,56,0,0,56,56,35,35,0,0,21,0,1,2022
Tyler Linderbaum,82291,C,BLT,1,100.0,0,3,60.6,22.2,73.4,0,2,34,100.0,100.0,97.1,0,2,0,56,56,0,0,56,35,35,0,0,21,0,1,2022
Morgan Moses,8701,T,BLT,1,100.0,0,3,64.3,70.5,57.1,0,0,34,100.0,100.0,97.1,0,1,1,56,0,0,0,56,35,35,0,56,21,0,1,2022
Michael Onwenu,27357,G,NE,1,100.0,0,19,68.9,76.7,63.0,0,0,33,100.0,100.0,100.0,0,0,0,56,0,0,0,56,35,35,56,0,21,0,1,2022
Phil Haynes,29244,G,SEA,1,100.0,0,29,47.1,50.4,54.9,0,3,31,100.0,100.0,95.2,2,3,0,55,0,55,0,55,35,35,0,0,20,0,1,2022
