player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,week,year
DaQuan Jones,8747,DI,BUF,1,1,0,,0,0,4,,68.9,77.0,76.3,50.1,70.3,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,46,46,0,32,0,14,0,0,34,12,0,2,2,0,2,0,0,0,,1,2022
Kevin Pierre-Louis,8767,LB,HST,1,0,0,0.0,0,0,13,90.6,77.4,69.8,,47.8,69.9,0,0,0,,0.0,0,1,0,39.6,0,0,16,0,9,22,2,0,0,2,0,0,20,0,13,4,0,1,3,0,0,0,0,,1,2022
Brent Urban,8769,DI,BLT,1,0,0,,0,0,3,59.9,59.2,75.3,60.6,57.3,,0,1,0,,,0,0,0,0.0,0,0,0,0,2,25,25,0,18,2,5,0,0,20,3,0,0,0,0,1,0,0,0,,1,2022
Devon Kennard,8809,ED,ARZ,1,0,0,,0,0,1,77.3,62.6,76.7,50.1,61.5,69.9,1,1,0,,0.0,0,0,0,0.0,0,0,1,0,2,35,34,0,1,32,1,0,1,20,13,0,1,1,0,2,0,0,0,,1,2022
Shelby Harris,8869,DI,SEA,1,1,0,,0,0,29,,54.4,76.6,53.1,58.9,32.9,1,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,45,45,0,28,2,15,0,0,35,10,0,1,2,0,1,0,0,0,,1,2022
Denico Autry,8982,ED,TEN,1,2,0,,0,0,31,61.2,33.4,0.0,47.4,43.3,48.2,1,2,0,,28.6,2,0,1,0.0,0,0,0,0,2,38,37,1,4,24,8,0,1,19,17,0,1,3,0,3,0,0,0,,1,2022
Shaquil Barrett,9000,ED,TB,1,0,0,,0,0,30,62.8,72.5,3.0,73.1,70.0,72.8,1,3,0,,0.0,0,0,1,0.0,0,0,0,0,4,49,48,0,0,48,0,0,1,32,13,1,1,1,0,4,0,0,0,,1,2022
Kerry Hyder,9045,DI,SF,1,0,0,,0,0,28,,53.5,75.9,54.4,56.5,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,15,15,0,0,13,2,0,0,4,11,0,0,0,0,0,0,0,0,,1,2022
Adrian Phillips,9177,S,NE,1,1,0,66.7,0,0,19,66.9,75.5,71.3,,77.8,79.5,0,0,0,12.0,0.0,0,0,0,84.0,2,0,15,2,17,27,1,0,0,1,0,4,26,0,10,5,3,3,3,0,0,19,0,9.5,1,2022
Mike Pennel,9316,DI,CHI,1,0,0,,0,0,6,,45.0,73.8,56.0,48.4,69.8,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,14,14,2,12,0,0,0,0,5,9,0,2,3,0,0,0,0,0,,1,2022
K'Waun Williams,9332,CB,DEN,1,0,0,100.0,0,0,10,58.3,59.7,73.0,,62.9,26.9,0,0,0,4.0,50.0,1,0,0,81.3,2,0,2,0,19,26,0,0,0,0,0,0,26,0,7,24,0,1,2,0,0,7,14,3.5,1,2022
Dante Fowler Jr.,9436,ED,DAL,1,0,0,,0,0,9,,66.2,74.2,64.4,,,0,1,0,,,0,0,0,0.0,0,0,0,0,0,10,10,0,0,8,2,0,0,10,0,0,0,0,0,1,0,0,0,,1,2022
Leonard Williams,9439,DI,NYG,1,1,0,,0,0,21,60.0,71.2,79.2,57.9,75.0,72.1,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,53,53,3,14,19,17,0,0,32,21,0,2,4,0,1,0,0,0,,1,2022
Arik Armstead,9450,DI,SF,1,1,0,,0,0,28,,48.5,77.7,56.0,48.8,69.0,0,2,0,,0.0,0,0,0,0.0,0,0,0,0,0,42,42,0,36,0,6,0,0,16,26,0,1,1,0,2,0,0,0,,1,2022
Bud Dupree,9455,ED,TEN,1,0,0,100.0,0,0,31,60.6,51.2,77.4,64.1,39.8,69.9,0,2,0,6.0,100.0,1,0,0,91.7,1,1,0,0,2,47,47,0,0,47,0,0,0,25,20,0,1,0,1,3,0,6,8,6.0,1,2022
Shaq Thompson,9458,LB,CAR,1,2,0,40.0,0,0,5,48.8,50.4,74.7,59.4,58.1,47.3,1,0,0,24.0,25.0,2,0,0,57.1,2,0,55,1,32,60,0,0,0,0,0,0,60,1,27,4,2,4,5,1,0,26,36,13.0,1,2022
Preston Smith,9471,ED,GB,1,1,0,100.0,0,0,12,62.7,58.8,78.2,59.7,55.6,25.7,3,2,0,5.0,40.0,2,0,0,87.5,1,0,0,0,3,53,50,0,0,49,1,0,3,27,23,3,1,2,1,5,0,5,1,5.0,1,2022
Eric Kendricks,9478,LB,MIN,1,3,0,25.0,0,0,18,78.5,76.4,76.4,60.0,54.8,79.3,0,1,0,13.0,0.0,0,1,0,40.6,1,0,45,0,42,61,0,0,0,0,0,1,61,1,18,15,0,3,4,1,0,13,9,13.0,1,2022
Denzel Perryman,9481,LB,LV,1,1,0,100.0,0,0,23,78.3,70.5,71.8,59.9,50.8,77.7,0,0,0,-3.0,0.0,0,0,0,79.2,1,0,25,0,16,26,0,0,0,0,0,0,26,1,9,1,1,2,1,0,0,-3,3,-3.0,1,2022
Ronald Darby,9483,CB,DEN,1,2,0,60.0,0,1,10,63.4,73.6,75.0,,90.2,79.6,0,0,0,16.0,0.0,0,1,1,73.8,3,0,18,36,35,55,1,0,0,1,0,0,54,0,20,0,2,4,5,0,0,26,4,8.7,1,2022
Jordan Phillips,9485,DI,BUF,1,1,0,,0,0,4,59.1,83.1,0.0,90.0,71.2,37.4,1,3,0,,33.3,1,0,1,0.0,0,2,2,0,1,35,33,1,8,2,22,0,2,26,8,0,3,1,0,6,0,0,0,,1,2022
Markus Golden,9491,ED,ARZ,1,0,0,100.0,0,0,1,29.0,31.0,75.7,54.1,50.2,70.5,2,1,0,20.0,0.0,0,0,0,118.8,2,0,1,0,4,28,27,0,0,26,1,0,1,16,8,0,1,1,2,3,0,38,30,19.0,1,2022
Randy Gregory,9493,ED,DEN,1,0,0,,0,1,10,91.3,84.8,75.8,73.2,49.8,39.2,0,4,0,,0.0,0,0,1,0.0,0,0,0,0,4,26,25,0,0,25,0,0,1,14,8,1,1,1,0,4,0,0,0,,1,2022
Frank Clark,9496,ED,KC,1,0,0,,0,0,16,60.0,41.4,78.4,48.0,45.4,69.9,0,2,0,,0.0,0,0,0,0.0,0,0,0,0,1,35,35,0,1,34,0,0,0,23,11,0,1,1,0,2,0,0,0,,1,2022
P.J. Williams,9511,S,NO,1,2,0,100.0,0,0,20,32.8,30.2,74.2,57.1,60.0,77.2,0,0,0,31.0,0.0,0,0,0,118.8,3,0,0,1,11,14,5,0,0,5,0,5,9,2,1,3,0,2,3,0,0,44,20,14.7,1,2022
Jordan Hicks,9517,LB,MIN,1,2,0,100.0,0,1,18,45.9,57.4,77.3,90.4,66.3,53.2,0,0,0,25.0,13.3,2,0,0,112.5,8,1,43,0,42,59,5,0,0,5,0,1,54,1,16,10,5,11,8,1,0,88,68,11.0,1,2022
Danielle Hunter,9521,ED,MIN,1,1,1,,1,0,18,60.0,71.1,80.5,72.1,55.5,36.9,0,2,0,,50.0,1,0,1,0.0,0,1,5,0,1,48,42,0,1,41,0,0,6,33,14,1,1,0,0,3,0,0,0,,1,2022
Carl Davis,9523,DI,NE,1,1,0,,0,0,19,,72.1,0.0,65.2,81.0,68.4,0,1,0,,0.0,0,0,1,0.0,0,0,0,0,0,14,14,9,5,0,0,0,0,8,6,0,1,1,0,1,0,0,0,,1,2022
Henry Anderson,9526,ED,CAR,1,0,0,,0,0,5,,73.6,77.0,69.0,66.9,70.4,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,27,27,0,6,16,5,0,0,12,15,0,2,2,0,1,0,0,0,,1,2022
Steven Nelson,9531,CB,HST,1,1,0,57.1,0,0,13,72.4,63.1,79.1,,29.1,27.5,0,0,0,16.0,42.9,3,2,0,113.7,4,0,2,86,56,92,1,0,0,1,0,0,91,0,36,3,1,3,7,0,1,41,17,10.3,1,2022
Angelo Blackson,9533,DI,CHI,1,1,0,,0,0,6,,30.1,0.0,54.4,32.4,67.3,0,1,0,,0.0,0,0,1,0.0,0,0,0,0,0,47,47,1,42,0,4,0,0,26,21,0,0,0,0,1,0,0,0,,1,2022
Za'Darius Smith,9555,ED,MIN,1,0,0,,0,0,18,61.5,55.0,77.9,65.2,40.9,73.8,1,2,0,,0.0,0,0,0,0.0,0,1,2,0,1,45,42,0,4,36,2,0,3,30,14,1,3,2,0,4,0,0,0,,1,2022
Kwon Alexander,9557,LB,NYJ,1,0,0,100.0,0,0,22,68.1,74.0,72.2,58.7,73.5,83.1,0,0,0,7.0,0.0,0,0,0,85.4,2,0,18,0,18,37,4,0,0,4,0,0,33,1,18,15,2,3,2,0,0,9,6,4.5,1,2022
Damien Wilson,9560,LB,CAR,1,1,0,100.0,0,0,5,57.1,36.7,74.4,76.6,29.2,46.6,0,0,0,19.0,0.0,0,0,0,118.8,2,1,29,0,13,31,0,0,0,0,0,1,31,1,17,1,1,2,2,1,0,26,10,13.0,1,2022
Grady Jarrett,9570,DI,ATL,1,1,0,,0,0,2,60.0,89.8,77.6,75.2,84.3,72.3,0,3,0,,0.0,0,0,0,0.0,0,2,1,0,0,45,44,8,26,1,9,0,1,34,11,0,2,3,0,5,0,0,0,,1,2022
