player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,week,year
Trey Lance,91399,QB,SF,1,100.0,2,3,3.5,2.27,0,0,0.0,66.7,2,0,2,0.0,3,0,1,28,69.8,55.3,59.8,54.6,1,0,3,0,0.0,99.3,0.0,0,0,0,0,0,0,0.0,30,10.0,2,2022
Case Keenum,7323,QB,BUF,1,0.0,2,2,13.0,1.85,0,0,0.0,0.0,0,0,0,,2,0,0,4,69.1,44.5,43.9,57.7,0,0,2,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,2,2022
DeeJay Dallas,55632,HB,SEA,1,0.0,1,1,14.0,3.0,0,0,0.0,0.0,0,0,0,,1,0,0,29,69.5,11.4,22.2,,0,1,1,0,,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0,2,2022
Braden Mann,44664,P,NYJ,1,100.0,1,1,6.0,2.1,0,0,0.0,100.0,1,0,0,0.0,1,0,1,22,60.4,70.7,67.2,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,17,17.0,2,2022
Josh Allen,46601,QB,BUF,1,75.0,56,63,5.9,2.74,1,4,6.3,66.7,42,0,32,0.0,73,0,26,4,45.8,53.8,47.0,86.6,0,0,74,1,12.5,94.7,5.5,4,5,1,5,2,6,8.1,400,6.3,3,2022
Kyler Murray,38334,QB,ARZ,1,76.4,55,58,6.0,2.21,0,1,1.7,63.8,37,0,11,11.9,62,5,15,1,81.7,61.9,62.6,54.2,0,0,63,0,18.2,77.9,3.2,2,2,0,3,0,0,0.0,315,5.4,3,2022
Joe Flacco,4332,QB,NYJ,1,69.8,43,52,9.4,2.61,2,1,1.9,53.8,28,0,21,6.7,56,2,14,22,19.9,27.1,27.7,,1,2,58,0,19.0,53.8,7.1,4,0,0,6,0,6,10.3,285,5.5,3,2022
Justin Herbert,28237,QB,LAC,1,66.7,39,45,9.2,2.84,1,2,4.2,55.6,25,0,20,3.8,47,1,14,27,30.4,62.9,61.1,63.9,1,1,50,0,5.0,74.0,2.1,1,1,0,4,1,2,4.0,297,6.6,3,2022
Geno Smith,7820,QB,SEA,1,74.4,43,44,9.8,2.37,0,2,4.4,72.7,32,0,12,0.0,46,0,15,29,80.4,69.2,67.6,63.6,0,1,47,0,16.7,99.1,4.3,2,0,0,1,2,4,8.5,325,7.4,3,2022
Derek Carr,8671,QB,LV,1,73.7,38,44,11.4,2.83,0,4,8.2,59.1,26,0,13,7.1,47,2,16,23,80.6,78.4,74.1,76.0,3,1,52,2,7.7,85.7,2.1,1,2,0,3,2,2,3.8,303,6.9,3,2022
Carson Wentz,10636,QB,WAS,1,74.4,39,43,8.3,2.7,2,1,2.2,58.1,25,0,23,13.8,55,4,11,32,35.6,64.0,63.4,60.3,1,0,58,0,39.1,71.0,16.4,9,3,0,1,0,1,1.7,211,4.9,3,2022
