player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent,week,year
Dustin Hopkins,7958,K,LAC,1,0,0,0,,0,0,,27,64.4,0,0,,3,3,100.0,0,1,1,100.0,1,1,100.0,0,0,,2,2022
Brandon McManus,8437,K,DEN,1,0,1,1,100.0,0,0,,10,67.4,0,0,,1,1,100.0,0,0,0,,3,3,100.0,2,2,100.0,2,2022
Brett Maher,8585,K,DAL,1,0,2,2,100.0,0,0,,9,82.2,0,0,,2,2,100.0,0,0,0,,2,2,100.0,0,0,,2,2022
Cairo Santos,8932,K,CHI,1,0,0,0,,1,1,100.0,6,64.5,0,0,,1,1,100.0,0,0,0,,1,1,100.0,0,0,,2,2022
Chris Boswell,8990,K,PIT,1,0,1,1,100.0,0,0,,25,67.2,0,0,,0,0,,0,1,1,100.0,2,2,100.0,0,0,,2,2022
Jason Myers,10207,K,SEA,1,0,0,0,,0,0,,29,60.4,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,,2,2022
Wil Lutz,11096,K,NO,1,0,0,0,,0,0,,20,62.2,0,0,,1,1,100.0,0,1,1,100.0,1,1,100.0,0,0,,2,2022
Ka'imi Fairbairn,11161,K,HST,1,0,0,0,,2,2,100.0,13,66.1,0,0,,0,0,,0,0,0,,3,3,100.0,1,1,100.0,2,2022
Jake Elliott,11908,K,PHI,1,0,0,0,,1,0,0.0,24,64.8,0,0,,3,3,100.0,0,1,1,100.0,2,1,50.0,0,0,,2,2022
Younghoe Koo,12042,K,ATL,1,0,0,0,,1,0,0.0,2,48.9,0,0,,2,2,100.0,0,0,0,,2,1,50.0,1,1,100.0,2,2022
Austin Seibert,13701,K,DET,1,0,0,0,,1,1,100.0,11,68.8,0,0,,4,4,100.0,0,1,1,100.0,2,2,100.0,0,0,,2,2022
Greg Joseph,22842,K,MIN,1,0,0,0,,0,0,,18,60.4,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,,2,2022
Daniel Carlson,28121,K,LV,1,0,1,1,100.0,0,0,,23,71.8,0,0,,2,2,100.0,0,1,1,100.0,3,3,100.0,1,1,100.0,2,2022
Jason Sanders,29578,K,MIA,1,0,0,0,,0,0,,17,65.9,0,0,,6,6,100.0,0,0,0,,0,0,,0,0,,2,2022
Tyler Bass,33010,K,BUF,1,0,0,0,,1,1,100.0,4,69.6,0,0,,5,5,100.0,0,1,1,100.0,2,2,100.0,0,0,,2,2022
Matt Ammendola,34039,K,KC,1,0,0,0,,0,0,,16,64.4,1,1,100.0,3,3,100.0,0,1,1,100.0,2,2,100.0,0,0,,2,2022
Joey Slye,39235,K,WAS,1,0,0,0,,0,0,,32,44.5,0,0,,2,1,50.0,0,0,0,,0,0,,0,0,,2,2022
Eddy Pineiro,44140,K,CAR,1,0,0,0,,0,0,,5,64.6,0,0,,1,1,100.0,0,3,3,100.0,3,3,100.0,0,0,,2,2022
Riley Patterson,57556,K,JAX,1,0,1,1,100.0,0,0,,15,69.0,0,0,,3,3,100.0,0,0,0,,1,1,100.0,0,0,,2,2022
Matt Gay,57643,K,LA,1,0,0,0,,0,0,,26,64.5,0,0,,4,4,100.0,0,0,0,,1,1,100.0,1,1,100.0,2,2022
Evan McPherson,82583,K,CIN,1,0,1,1,100.0,2,2,100.0,7,72.8,0,0,,0,0,,0,0,0,,3,3,100.0,0,0,,2,2022
Cade York,98975,K,CLV,1,0,0,0,,0,0,,8,40.3,0,0,,4,3,75.0,0,0,0,,1,1,100.0,1,1,100.0,2,2022
Robbie Gould,2607,K,SF,1,0,1,1,100.0,0,0,,28,66.9,0,0,,1,1,100.0,0,0,0,,1,1,100.0,0,0,,3,2022
Matt Prater,3471,K,ARZ,1,0,0,0,,2,2,100.0,1,69.0,0,0,,0,0,,0,1,1,100.0,4,4,100.0,1,1,100.0,3,2022
Nick Folk,3794,K,NE,1,0,1,1,100.0,0,0,,19,68.9,0,0,,2,2,100.0,0,1,1,100.0,2,2,100.0,0,0,,3,2022
Mason Crosby,3809,K,GB,1,0,0,0,,0,0,,12,62.3,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,,3,2022
Ryan Succop,5180,K,TB,1,0,0,0,,2,2,100.0,30,67.2,0,0,,0,0,,0,0,0,,2,2,100.0,0,0,,3,2022
