player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,week,year
Eric Saubert,11929,TE,DEN,1,0,10,68.3,0,0,1,10.0,10.0,100.0,0,0,0,1,10,,0,0,0,0.0,0.0,,0,0,0,5,1,2022
Jamaal Williams,11889,HB,DET,1,0,11,69.4,0,0,1,9.1,9.1,100.0,0,0,0,1,11,,0,0,0,0.0,0.0,,0,0,0,3,1,2022
Samaje Perine,11869,HB,CIN,1,0,7,74.6,0,0,1,4.5,4.0,100.0,0,0,0,1,25,74.6,0,0,1,6.3,5.3,100.0,0,0,1,19,1,2022
Jonnu Smith,11855,TE,NE,1,0,19,70.6,0,0,1,5.6,5.0,100.0,0,0,0,1,20,,0,0,0,0.0,0.0,,0,0,0,9,1,2022
Nick Bellore,6515,LB,SEA,1,0,29,73.4,0,0,0,,100.0,,0,0,0,1,1,,0,0,0,,,,0,0,0,0,1,2022
Corey Davis,11760,WR,NYJ,1,0,22,69.0,0,0,1,2.3,2.2,100.0,0,0,0,1,46,,0,0,0,0.0,0.0,,0,0,0,24,1,2022
Stephen Anderson,11160,TE,ARZ,1,0,1,22.7,0,0,1,25.0,25.0,100.0,0,0,0,1,4,,0,0,0,0.0,0.0,,0,0,0,1,1,2022
Derek Watt,10832,FB,PIT,1,0,25,73.4,0,0,1,25.0,25.0,100.0,0,0,0,1,4,73.4,0,0,1,100.0,100.0,100.0,0,0,1,1,1,2022
Raheem Mostert,9783,HB,MIA,1,0,17,69.7,0,0,1,7.1,7.1,100.0,0,0,0,1,14,,0,0,0,0.0,0.0,,0,0,0,4,1,2022
Chigoziem Okonkwo,84000,TE,TEN,1,0,31,72.7,0,0,0,0.0,16.7,,0,0,0,1,6,72.7,0,0,0,0.0,33.3,,0,0,1,3,1,2022
Bobby Hart,9659,G,BUF,1,0,4,66.3,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0,1,2022
Joe Fortson,94384,TE,KC,1,0,16,70.2,0,0,1,9.1,8.3,100.0,0,0,0,1,12,,0,0,0,0.0,0.0,,0,0,0,2,1,2022
Ameer Abdullah,9487,HB,LV,1,0,23,4.2,0,0,1,14.3,14.3,100.0,0,0,0,1,7,4.2,0,0,1,16.7,16.7,100.0,0,0,1,6,1,2022
Nelson Agholor,9453,WR,NE,1,0,19,66.6,0,0,0,0.0,5.0,,0,0,0,1,20,,0,0,0,0.0,0.0,,0,0,0,9,1,2022
Derek Carr,8671,QB,LV,1,0,23,60.9,0,0,1,2.3,2.2,100.0,0,0,0,1,45,,0,0,0,0.0,0.0,,0,0,0,27,1,2022
Rhamondre Stevenson,98689,HB,NE,1,0,19,73.0,0,0,1,16.7,16.7,100.0,0,0,0,1,6,,0,0,0,,,,0,0,0,0,1,2022
Kyle Juszczyk,7912,FB,SF,1,0,28,73.4,0,0,1,9.1,9.1,100.0,0,0,0,1,11,73.4,0,0,1,11.1,11.1,100.0,0,0,1,9,1,2022
Anthony Firkser,51837,TE,ATL,1,0,2,69.3,0,0,1,33.3,33.3,100.0,0,0,0,1,3,,0,0,0,0.0,0.0,,0,0,0,1,1,2022
Colby Parkinson,52266,TE,SEA,1,0,29,70.2,0,0,1,9.1,8.3,100.0,0,0,0,1,12,,0,0,0,0.0,0.0,,0,0,0,3,1,2022
Trent Sherfield,48021,WR,MIA,1,0,17,69.0,0,0,1,9.1,9.1,100.0,0,0,0,1,11,,0,0,0,0.0,0.0,,0,0,0,2,1,2022
Hayden Hurst,47294,TE,CIN,1,0,7,65.1,0,0,1,1.9,1.7,100.0,0,0,0,1,58,,0,0,0,0.0,0.0,,0,0,0,36,1,2022
Equanimeous St. Brown,47967,WR,CHI,1,0,6,62.2,0,0,1,5.6,5.3,100.0,0,0,0,1,19,,0,0,0,0.0,0.0,,0,0,0,7,1,2022
Dallas Goedert,47272,TE,PHI,1,0,24,69.8,0,0,1,2.6,2.4,100.0,0,0,0,1,41,,0,0,0,0.0,0.0,,0,0,0,14,1,2022
Tommy Sweeney,47216,TE,BUF,1,0,4,64.9,0,0,1,16.7,16.7,100.0,0,0,0,1,6,,0,0,0,0.0,0.0,,0,0,0,1,1,2022
Marquise Goodwin,7859,WR,SEA,1,0,29,65.8,0,0,1,5.6,5.3,100.0,0,0,0,1,19,,0,0,0,0.0,0.0,,0,0,0,12,1,2022
Andrew Beck,47121,FB,DEN,1,0,10,62.0,0,0,1,25.0,25.0,100.0,0,0,0,1,4,,0,0,0,,,,0,0,0,0,1,2022
Elijah Mitchell,57272,HB,SF,1,0,28,72.4,0,0,1,25.0,25.0,100.0,0,0,0,1,4,,0,0,0,,,,0,0,0,0,1,2022
Chuba Hubbard,57373,HB,CAR,1,0,5,72.4,0,0,1,50.0,50.0,100.0,0,0,0,1,2,,0,0,0,,,,0,0,0,0,1,2022
Zander Horvath,57384,FB,LAC,1,0,27,25.3,0,1,1,14.3,12.5,50.0,0,1,0,1,8,,0,0,0,0.0,0.0,,0,0,0,1,1,2022
Jonathan Taylor,57488,HB,IND,1,0,14,3.9,0,0,1,2.9,2.7,100.0,0,0,0,1,37,,0,0,0,0.0,0.0,,0,0,0,14,1,2022
Travis Homer,45859,HB,SEA,1,0,29,6.7,0,1,1,8.3,7.1,50.0,0,1,0,1,14,6.7,0,1,1,12.5,11.1,50.0,1,0,1,9,1,2022
Avery Williams,42873,HB,ATL,1,0,2,68.7,0,0,1,5.9,5.6,100.0,0,0,0,1,18,,0,0,0,0.0,0.0,,0,0,0,7,1,2022
Noah Fant,42388,TE,SEA,1,0,29,66.3,0,0,0,0.0,4.8,,0,0,0,1,21,,0,0,0,0.0,0.0,,0,0,0,7,1,2022
Chase Claypool,42312,WR,PIT,1,0,25,68.1,0,0,1,2.6,2.4,100.0,0,0,0,1,41,,0,0,0,0.0,0.0,,0,0,0,18,1,2022
Irv Smith Jr.,42060,TE,MIN,1,0,18,69.7,0,0,1,6.7,6.3,100.0,0,0,0,1,16,,0,0,0,0.0,0.0,,0,0,0,11,1,2022
Cole Van Lanen,41583,G,JAX,1,0,15,67.6,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0,1,2022
Darrell Henderson,41193,HB,LA,1,0,26,74.6,0,0,1,2.5,2.4,100.0,0,0,0,1,41,,0,0,0,0.0,0.0,,0,0,0,23,1,2022
Devery Hamilton,40636,T,NYG,1,0,21,67.2,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0,1,2022
Kylen Granson,40630,TE,IND,1,0,14,66.6,0,0,1,3.3,3.2,100.0,0,0,0,1,31,,0,0,0,0.0,0.0,,0,0,0,11,1,2022
Zack Moss,40341,HB,BUF,1,0,4,73.0,0,0,1,6.7,6.7,100.0,0,0,0,1,15,73.0,0,0,1,20.0,20.0,100.0,0,0,1,5,1,2022
Adam Prentice,35639,FB,NO,1,0,20,74.1,0,0,1,25.0,25.0,100.0,0,0,0,1,4,74.1,0,0,1,33.3,33.3,100.0,0,0,1,3,1,2022
Damien Harris,35134,HB,NE,1,0,19,74.4,0,0,1,9.1,8.3,100.0,0,0,0,1,12,74.4,0,0,1,20.0,16.7,100.0,0,0,1,6,1,2022
Juwan Johnson,28305,TE,NO,1,0,20,69.6,0,0,1,3.2,2.9,100.0,0,0,0,1,34,,0,0,0,0.0,0.0,,0,0,0,20,1,2022
Rashaad Penny,27414,HB,SEA,1,0,29,73.0,0,0,1,5.0,4.5,100.0,0,0,0,1,22,,0,0,0,0.0,0.0,,0,0,0,7,1,2022
